,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
769,2011,Kung Fu Panda 2,Kung Fu Panda 2,2011-08-24,"Animation, Action, Adventure",90,USA,DreamWorks Animation,7.2,67.0,PG,,$,665692281,$,150000000.0,0,0,0,0,0,1,0,0
770,2011,Milo su Marte,Mars Needs Moms,2011-06-01,"Animation, Action, Adventure",88,USA,Walt Disney Pictures,5.4,49.0,PG,,$,39233678,$,150000000.0,0,0,0,0,0,1,0,0
771,2011,50 e 50,50/50,2012-03-02,"Comedy, Drama, Romance",100,USA,Summit Entertainment,7.6,72.0,R,,$,41097853,$,8000000.0,0,0,0,0,0,0,0,1
773,2011,There Be Dragons - Un santo nella tempesta,There Be Dragons,2011-03-25,"Biography, Drama, War",122,"Spain, USA, Argentina",Antena 3 Films,5.8,33.0,PG-13,,$,4372642,$,36000000.0,0,0,0,0,0,0,1,0
774,2011,L'alba del pianeta delle scimmie,Rise of the Planet of the Apes,2011-09-23,"Action, Drama, Sci-Fi",105,"USA, UK, Canada",Twentieth Century Fox,7.6,68.0,PG-13,,$,481800873,$,93000000.0,0,0,0,0,0,0,1,0
775,2011,Mr. Beaver,The Beaver,2011-05-20,Drama,91,"USA, United Arab Emirates",Summit Entertainment,6.6,60.0,PG-13,,$,7294800,$,21000000.0,0,0,0,0,0,0,1,0
778,2011,The Resident,The Resident,2011-03-11,"Drama, Horror, Mystery",91,"UK, USA",Exclusive Media Group,5.3,,R,,$,6742156,$,20000000.0,0,0,0,0,0,0,0,1
780,2011,Arturo,Arthur,2011-06-29,"Comedy, Romance",110,USA,Warner Bros.,5.7,36.0,PG-13,,$,48147945,$,40000000.0,0,0,0,0,0,0,1,0
784,2011,La talpa,Tinker Tailor Soldier Spy,2012-01-13,"Drama, Mystery, Thriller",122,"France, UK, Germany, USA",StudioCanal,7.0,85.0,R,,$,81244605,GBP,28800000.0,0,0,0,0,0,0,0,1
788,2011,Lo spaventapassere,The Sitter,2012-08-10,Comedy,81,USA,Twentieth Century Fox,5.7,39.0,R,,$,34942188,$,25000000.0,0,0,0,0,0,0,0,1
792,2011,I guardiani del destino,The Adjustment Bureau,2011-06-17,"Romance, Sci-Fi, Thriller",106,USA,Universal Pictures,7.0,60.0,PG-13,,$,127869379,$,50200000.0,0,0,0,0,0,0,1,0
794,2011,La mia vita è uno zoo,We Bought a Zoo,2012-06-08,"Comedy, Drama, Family",124,USA,Twentieth Century Fox,7.1,58.0,PG,,$,120081841,$,50000000.0,0,0,0,0,0,1,0,0
796,2011,I pinguini di Mr. Popper,Mr. Popper's Penguins,2011-08-12,"Comedy, Family, Fantasy",94,USA,Twentieth Century Fox,6.0,53.0,PG,Mr. Popper's Penguins,$,187361754,$,55000000.0,0,1,0,0,0,1,0,0
799,2011,Transformers 3,Transformers: Dark of the Moon,2011-06-29,"Action, Adventure, Sci-Fi",154,USA,Paramount Pictures,6.2,42.0,PG-13,,$,1123794079,$,195000000.0,0,0,0,0,0,0,1,0
800,2011,Unknown - Senza identità,Unknown,2011-02-28,"Action, Mystery, Thriller",113,"UK, Germany, France, USA",Dark Castle Entertainment,6.8,56.0,PG-13,,$,135710029,$,30000000.0,0,0,0,0,0,0,1,0
801,2011,Happy Feet 2,Happy Feet Two,2011-11-25,"Animation, Adventure, Comedy",100,"Australia, USA",Warner Bros.,5.9,50.0,PG,,$,159196936,$,135000000.0,0,0,0,0,0,1,0,0
806,2011,"Amici, amanti e...",No Strings Attached,2011-03-25,"Comedy, Romance",108,"USA, UK",Paramount Pictures,6.2,50.0,R,,$,149228077,$,25000000.0,0,0,0,0,0,0,0,1
807,2011,Bucky Larson: Born to Be a Star,Bucky Larson: Born to Be a Star,2011-09-09,Comedy,97,USA,Columbia Pictures,3.2,9.0,R,,$,2530394,$,10000000.0,0,0,0,0,0,0,0,1
808,2011,Una notte da leoni 2,The Hangover Part II,2011-05-25,Comedy,102,"USA, Thailand",Warner Bros.,6.4,44.0,R,,$,586764305,$,80000000.0,0,0,0,0,0,0,0,1
809,2011,Hop,Hop,2011-04-01,"Animation, Adventure, Comedy",95,USA,Universal Pictures,5.4,41.0,PG,,$,183953723,$,63000000.0,0,0,0,0,0,1,0,0
810,2011,Marigold Hotel,The Best Exotic Marigold Hotel,2012-03-30,"Comedy, Drama, Romance",124,"UK, USA, United Arab Emirates",Blueprint Pictures,7.2,62.0,PG-13,,$,136836156,$,10000000.0,0,0,0,0,0,0,1,0
811,2011,Bulletproof Man,Kill the Irishman,2012-05-11,"Biography, Crime, Drama",106,USA,Anchor Bay Films,7.1,50.0,R,,$,1188194,$,12000000.0,0,0,0,0,0,0,0,1
813,2011,A Lonely Place to Die,A Lonely Place to Die,2011-09-07,"Crime, Thriller",99,UK,Carnaby International,6.2,,R,,$,442550,$,4000000.0,0,0,0,0,0,0,0,1
815,2011,Il figlio di Babbo Natale,Arthur Christmas,2011-12-23,"Animation, Adventure, Comedy",97,"UK, USA",Aardman Animations,7.1,69.0,PG,,$,147419472,$,100000000.0,0,0,0,0,0,1,0,0
817,2011,Rio,Rio,2011-04-15,"Animation, Adventure, Comedy",96,"USA, Brazil",Twentieth Century Fox Animation,6.9,63.0,G,,$,483866518,$,90000000.0,0,0,1,0,0,0,0,0
820,2011,Faust,Faust,2011-10-26,"Drama, Fantasy, Mystery",140,Russia,Mass Media Development and Support Foundation,6.6,65.0,NR,,$,58132,EUR,9840000.0,0,0,0,0,1,0,0,0
823,2011,Fright Night - Il vampiro della porta accanto,Fright Night,2011-08-26,"Comedy, Horror",106,USA,DreamWorks,6.3,64.0,R,,$,41002607,$,30000000.0,0,0,0,0,0,0,0,1
826,2011,Game of Death,Game of Death,2011-06-09,"Action, Adventure, Thriller",98,USA,Perpetual Media Capital,4.7,,NR,,$,189805,$,13000000.0,0,0,0,0,1,0,0,0
827,2011,Killer Elite,Killer Elite,2012-06-01,"Action, Thriller",116,"UK, Australia",Omnilab Media,6.4,44.0,R,,$,57084522,$,70000000.0,0,0,0,0,0,0,0,1
828,2011,Winnie the Pooh - Nuove avventure nel Bosco dei Cento Acri,Winnie the Pooh,2011-04-20,"Animation, Adventure, Comedy",63,USA,Walt Disney Pictures,7.2,74.0,G,,$,49871429,$,30000000.0,0,0,1,0,0,0,0,0
833,2011,The Help,The Help,2012-01-20,Drama,146,USA,DreamWorks,8.0,62.0,PG-13,The Help,$,216639112,$,25000000.0,0,1,0,0,0,0,1,0
836,2011,Dream House,Dream House,2012-08-03,"Drama, Mystery, Thriller",84,"USA, Canada",Cliffjack Motion Pictures,6.0,35.0,PG-13,,$,39984400,$,50000000.0,0,0,0,0,0,0,1,0
837,2011,Big Mama: Tale padre tale figlio,"Big Mommas: Like Father, Like Son",2011-07-08,"Action, Comedy, Crime",107,USA,Regency Enterprises,4.4,22.0,PG-13,,$,82686066,$,32000000.0,0,0,0,0,0,0,1,0
839,2011,Sono il numero quattro,I Am Number Four,2011-02-18,"Action, Adventure, Sci-Fi",111,"USA, India",DreamWorks,6.1,36.0,PG-13,I Am Number Four,$,149878437,$,60000000.0,0,1,0,0,0,0,1,0
843,2011,Benvenuti a Cedar Rapids,Cedar Rapids,2011-07-01,Comedy,87,USA,Ad Hominem Enterprises,6.2,70.0,R,,$,7728936,$,10000000.0,0,0,0,0,0,0,0,1
845,2011,Le amiche della sposa,Bridesmaids,2011-08-19,"Comedy, Romance",125,USA,Universal Pictures,6.8,75.0,R,,$,288383523,$,32500000.0,0,0,0,0,0,0,0,1
846,2011,Attack the Block - Invasione aliena,Attack the Block,2012-05-30,"Action, Adventure, Comedy",88,UK,Screen Gems,6.6,75.0,R,,$,6206022,$,13000000.0,0,0,0,0,0,0,0,1
847,2011,Cappuccetto rosso sangue,Red Riding Hood,2011-04-22,"Fantasy, Horror, Mystery",100,"USA, Canada",Warner Bros.,5.5,29.0,PG-13,Red Riding Hood,$,90260376,$,42000000.0,0,1,0,0,0,0,1,0
849,2011,Cambio vita,The Change-Up,2011-12-09,"Comedy, Fantasy",112,USA,Universal Pictures,6.3,39.0,R,,$,75450437,$,52000000.0,0,0,0,0,0,0,0,1
850,2011,L'amore che resta,Restless,2011-10-07,"Drama, Romance",91,USA,Columbia Pictures,6.8,47.0,PG-13,Restless,$,2518012,$,8000000.0,0,1,0,0,0,0,1,0
852,2011,Come ammazzare il capo... e vivere felici,Horrible Bosses,2011-08-17,"Comedy, Crime",98,USA,New Line Cinema,6.9,57.0,R,,$,209838559,$,35000000.0,0,0,0,0,0,0,0,1
853,2011,Drive Angry,Drive Angry,2011-04-08,"Action, Fantasy, Thriller",104,USA,Summit Entertainment,5.4,44.0,R,,$,40909909,$,50000000.0,0,0,0,0,0,0,0,1
854,2011,Knockout - Resa dei conti,Haywire,2012-02-24,"Action, Drama, Thriller",93,"Ireland, USA",Relativity Media,5.8,67.0,R,,$,34513760,$,23000000.0,0,0,0,0,0,0,0,1
855,2011,Miracolo a Le Havre,Le Havre,2011-11-25,"Comedy, Drama",93,"Finland, France, Germany",Sputnik,7.2,82.0,PG,,$,12959706,EUR,4735500.0,0,0,0,0,0,1,0,0
859,2011,I tre moschettieri,The Three Musketeers,2011-10-14,"Action, Adventure, Fantasy",110,"USA, Germany, France, UK",Summit Entertainment,5.7,35.0,PG-13,,$,132274484,$,75000000.0,0,0,0,0,0,0,1,0
860,2011,Sherlock Holmes - Gioco di ombre,Sherlock Holmes: A Game of Shadows,2011-12-16,"Action, Adventure, Mystery",129,"USA, UK",Warner Bros.,7.5,48.0,PG-13,,$,543848418,$,125000000.0,0,0,0,0,0,0,1,0
862,2011,Anonymous,Anonymous,2011-11-18,"Drama, Thriller",130,"UK, Germany, USA",Columbia Pictures,6.9,50.0,PG-13,,$,15395087,$,30000000.0,0,0,0,0,0,0,1,0
864,2011,Melancholia,Melancholia,2011-10-21,"Drama, Sci-Fi",135,"Denmark, Sweden, France, Germany",Zentropa Entertainments,7.2,80.0,R,,$,17039814,$,7400000.0,0,0,0,0,0,0,0,1
870,2011,The Son of No One,The Son of No One,2011-07-09,"Action, Crime, Drama",90,USA,Millennium Films,5.1,36.0,R,,$,1091132,$,15000000.0,0,0,0,0,0,0,0,1
871,2011,The Divide,The Divide,2012-04-20,"Drama, Horror, Sci-Fi",112,"USA, Germany, Canada, France",Preferred Content,5.8,28.0,R,,$,145676,$,3000000.0,0,0,0,0,0,0,0,1
872,2011,Punto d'impatto,The Ledge,2011-06-10,"Drama, Romance, Thriller",101,"USA, Germany, Saudi Arabia",Foresight Unlimited,6.5,34.0,R,,$,1247188,$,10000000.0,0,0,0,0,0,0,0,1
873,2011,W.E. - Edward e Wallis,W.E.,2012-06-08,"Drama, History, Romance",119,UK,Semtex Films,6.3,37.0,R,,$,2042203,$,15000000.0,0,0,0,0,0,0,0,1
874,2011,Faces in the Crowd - Frammenti di un omicidio,Faces in the Crowd,2011-10-07,"Crime, Drama, Mystery",103,"USA, France, Canada, UK",Minds Eye Entertainment,5.7,,R,,$,93759,$,10000000.0,0,0,0,0,0,0,0,1
875,2011,Un poliziotto da happy hour,The Guard,2011-10-21,"Comedy, Crime, Thriller",96,Ireland,Reprisal Films,7.3,78.0,R,The Guard,$,19561904,$,6000000.0,0,1,0,0,0,0,0,1
876,2011,Le regole della truffa,Flypaper,2011-08-26,"Comedy, Crime, Mystery",87,"Germany, USA",The Safran Company,6.4,37.0,NR,,$,4453634,$,5000000.0,0,0,0,0,1,0,0,0
883,2011,Another Earth,Another Earth,2012-05-18,"Drama, Romance, Sci-Fi",92,USA,Artists Public Domain,7.0,66.0,PG-13,,$,1938783,$,100000.0,0,0,0,0,0,0,1,0
884,2011,Elles,Elles,2012-09-28,Drama,99,"France, Poland, Germany",Slot Machine,5.6,50.0,NC17,,$,3822241,EUR,4920000.0,0,0,0,1,0,0,0,0
885,2011,Café de Flore,Café de Flore,2011-11-18,"Drama, Romance",120,"Canada, France",Item 7,7.4,53.0,R,,$,1227259,CAD,8500000.0,0,0,0,0,0,0,0,1
887,2011,Per una vita migliore,A Better Life,2011-07-28,"Drama, Romance",98,USA,Summit Entertainment,7.2,64.0,PG-13,,$,1863506,$,10000000.0,0,0,0,0,0,0,1,0
889,2011,Higher Ground,Higher Ground,2012-03-01,Drama,109,USA,Authentic Management Productions,6.2,74.0,R,,$,1043262,$,2000000.0,0,0,0,0,0,0,0,1
891,2011,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara,2011-07-15,"Comedy, Drama",155,India,Eros International,8.1,,NR,,$,5192743,INR,8250000.0,0,0,0,0,1,0,0,0
892,2011,One Day,One Day,2011-11-11,"Drama, Romance",107,"USA, UK",Focus Features,7.0,48.0,PG-13,One Day,$,59389433,$,15000000.0,0,1,0,0,0,0,1,0
894,2011,L'incredibile storia di Winter il delfino,Dolphin Tale,2012-01-13,"Drama, Family",113,"Canada, USA",Alcon Entertainment,6.9,64.0,PG,,$,95943453,$,37000000.0,0,0,0,0,0,1,0,0
895,2011,Mia moglie per finta,Just Go with It,2011-04-01,"Comedy, Romance",117,USA,Columbia Pictures,6.4,33.0,PG-13,,$,214945591,$,80000000.0,0,0,0,0,0,0,1,0
898,2011,Loosies,Loosies,2011-11-09,"Comedy, Crime, Romance",89,USA,IFC Films,6.2,35.0,PG-13,,$,36145,$,3900000.0,0,0,0,0,0,0,1,0
900,2011,Some Guy Who Kills People,Some Guy Who Kills People,2012-10-05,"Comedy, Crime, Drama",97,USA,Level 10 Films,6.4,,R,,$,113,$,300000.0,0,0,0,0,0,0,0,1
920,2011,Millennium - Uomini che odiano le donne,The Girl with the Dragon Tattoo,2012-02-03,"Crime, Drama, Mystery",158,"USA, Sweden, Norway",Columbia Pictures,7.8,71.0,R,,$,232617430,$,90000000.0,0,0,0,0,0,0,0,1
926,2011,War Horse,War Horse,2012-02-17,"Action, Adventure, Drama",146,"USA, India",DreamWorks,7.2,72.0,PG-13,War Horse,$,177584879,$,66000000.0,0,1,0,0,0,0,1,0
927,2011,Burning Man,Burning Man,2011-11-17,"Drama, Romance",110,"UK, Australia",Archer Street Productions,6.4,53.0,NR,,$,147153,AUD,7470000.0,0,0,0,0,1,0,0,0
928,2011,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011-09-16,"Comedy, Drama, Romance",118,USA,Carousel Productions (II),7.4,68.0,PG-13,,$,145051197,$,50000000.0,0,0,0,0,0,0,1,0
929,2011,A Dangerous Method,A Dangerous Method,2011-09-30,"Biography, Drama, Romance",99,"UK, Germany, Canada, USA",Recorded Picture Company (RPC),6.4,76.0,R,,$,30519436,EUR,18450000.0,0,0,0,0,0,0,0,1
930,2011,Kinyarwanda,Kinyarwanda,2011-01-24,"Drama, History, Romance",100,"USA, France",Blok Box IMG,6.7,69.0,NR,,$,35412,$,400000.0,0,0,0,0,1,0,0,0
931,2011,Late Bloomers,Late Bloomers,2011-07-13,Drama,95,"France, Belgium, UK",Les Films du Worso,5.7,53.0,NR,,$,1399101,EUR,4305000.0,0,0,0,0,1,0,0,0
934,2011,Il dilemma,The Dilemma,2011-05-20,"Comedy, Drama",111,USA,Universal Pictures,5.3,46.0,PG-13,,$,69721966,$,70000000.0,0,0,0,0,0,0,1,0
938,2011,The Good Doctor,The Good Doctor,2012-08-31,"Drama, Thriller",91,USA,Code Red,5.5,52.0,PG-13,,$,51017,$,6000000.0,0,0,0,0,0,0,1,0
939,2011,L'amore all'improvviso - Larry Crowne,Larry Crowne,2011-10-28,"Comedy, Drama, Romance",98,"USA, France",Universal Pictures,6.1,41.0,PG-13,,$,75055070,$,30000000.0,0,0,0,0,0,0,1,0
941,2011,Machine Gun Preacher,Machine Gun Preacher,2011-11-02,"Action, Biography, Crime",129,USA,Relativity Media,6.8,43.0,R,,$,3338690,$,30000000.0,0,0,0,0,0,0,0,1
945,2011,Sleeping Beauty,Sleeping Beauty,2011-06-23,"Drama, Romance, Thriller",101,Australia,Screen Australia,5.3,57.0,NR,Sleeping Beauty,$,408680,AUD,2490000.0,0,1,0,0,1,0,0,0
946,2011,The Innkeepers,The Innkeepers,2012-03-08,"Drama, Horror, Mystery",101,USA,Dark Sky Films,5.4,64.0,R,,$,1178831,$,750000.0,0,0,0,0,0,0,0,1
948,2011,Fast & Furious 5,Fast Five,2011-05-04,"Action, Adventure, Crime",130,"USA, Brazil, Japan",Universal Pictures,7.3,66.0,PG-13,,$,626137675,$,125000000.0,0,0,0,0,0,0,1,0
949,2011,Soul Surfer,Soul Surfer,2011-04-08,"Biography, Drama, Family",112,USA,Enticing Entertainment,7.0,53.0,PG,,$,47120948,$,18000000.0,0,0,0,0,0,1,0,0
950,2011,Contagion,Contagion,2011-09-09,"Action, Drama, Thriller",106,"United Arab Emirates, USA",Warner Bros.,6.7,70.0,PG-13,,$,136515867,$,60000000.0,0,0,0,0,0,0,1,0
951,2011,Capodanno a New York,New Year's Eve,2011-12-23,"Comedy, Romance",118,USA,New Line Cinema,5.7,22.0,PG-13,,$,142044638,$,56000000.0,0,0,0,0,0,0,1,0
952,2011,Abduction - Riprenditi la tua vita,Abduction,2011-10-07,"Action, Mystery, Thriller",106,USA,Lionsgate,5.1,25.0,PG-13,,$,82087155,$,35000000.0,0,0,0,0,0,0,1,0
953,2011,The Eye of the Storm,The Eye of the Storm,2011-09-01,Drama,114,Australia,Paper Bark Films Pty. Ltd.,6.1,55.0,NR,,$,2104689,AUD,12450000.0,0,0,0,0,1,0,0,0
954,2011,The Grey,The Grey,2012-12-05,"Action, Adventure, Drama",117,USA,Open Road Films (II),6.8,64.0,R,,$,79781695,$,25000000.0,0,0,0,0,0,0,0,1
957,2011,Albert Nobbs,Albert Nobbs,2012-02-10,"Drama, Romance",113,"UK, Ireland, France, USA",Mockingbird Pictures,6.7,57.0,R,,$,7532259,$,8000000.0,0,0,0,0,0,0,0,1
958,2011,Prom - Ballo di fine anno,Prom,2011-04-29,"Comedy, Drama, Family",104,USA,Rickshaw Productions,5.4,50.0,PG,,$,10702246,$,8000000.0,0,0,0,0,0,1,0,0
964,2011,Midnight in Paris,Midnight in Paris,2011-12-02,"Comedy, Fantasy, Romance",96,"Spain, USA, France",Mediapro,7.7,81.0,PG-13,,$,153959590,$,17000000.0,1,0,0,0,0,0,1,0
965,2011,The Last Ride,The Last Ride,2012-06-22,"Biography, Drama, Music",102,USA,Mozark Productions,5.8,45.0,PG-13,,$,27000,$,9000000.0,0,0,0,0,0,0,1,0
969,2011,Iris,Iris,2011-08-26,"Drama, Family, History",85,"Finland, Sweden",Långfilm Productions Finland Oy,5.8,,PG-13,,$,122370,EUR,2890500.0,0,0,0,0,0,0,1,0
975,2011,Absentia,Absentia,2013-04-11,"Drama, Horror, Mystery",87,USA,FallBack Plan Productions,5.8,,R,,$,8555,$,70000.0,0,0,0,0,0,0,0,1
977,2011,La musica che non ti ho detto,The Music Never Stopped,2011-10-27,"Drama, Music",105,USA,Essential Pictures,7.5,60.0,PG,,$,342202,$,4000000.0,0,0,0,0,0,1,0,0
979,2011,Margin Call,Margin Call,2012-05-18,"Drama, Thriller",107,USA,Before The Door Pictures,7.1,76.0,R,,$,19504039,$,3500000.0,0,0,0,0,0,0,0,1
980,2011,Alvin Superstar 3 - Si salvi chi può!,Alvin and the Chipmunks: Chipwrecked,2012-01-03,"Animation, Adventure, Comedy",87,USA,Fox 2000 Pictures,4.3,24.0,G,,$,342695435,$,75000000.0,0,0,1,0,0,0,0,0
982,2011,J. Edgar,J. Edgar,2012-01-04,"Biography, Drama, Romance",137,USA,Imagine Entertainment,6.5,59.0,R,,$,84920539,$,35000000.0,0,0,0,0,0,0,0,1
985,2011,30 Minutes or Less,30 Minutes or Less,2011-10-21,"Action, Comedy, Crime",83,USA,Columbia Pictures,6.1,49.0,R,,$,40662632,$,28000000.0,0,0,0,0,0,0,0,1
987,2011,Final Destination 5,Final Destination 5,2011-10-07,"Horror, Thriller",92,"USA, Canada",New Line Cinema,5.8,50.0,R,,$,157887643,$,40000000.0,0,0,0,0,0,0,0,1
988,2011,Young Adult,Young Adult,2012-03-09,"Comedy, Drama",94,USA,Paramount Pictures,6.2,71.0,R,,$,22939027,$,12000000.0,0,0,0,0,0,0,0,1
989,2011,Touchback,Touchback,2012-04-13,"Drama, Family, Fantasy",118,USA,Freedom Films,6.5,56.0,PG-13,,$,204232,$,5000000.0,0,0,0,0,0,0,1,0
992,2011,Courageous - In lotta per capire,Courageous,2011-09-30,"Drama, Fantasy",129,USA,TriStar Pictures,7.0,42.0,PG-13,Courageous,$,35185884,$,2000000.0,0,1,0,0,0,0,1,0
995,2011,Shark Night - Il lago del terrore,Shark Night 3D,2011-09-02,"Horror, Thriller",90,USA,Incentive Filmed Entertainment,4.0,22.0,PG-13,,$,41363927,$,25000000.0,0,0,0,0,0,0,1,0
997,2011,Intruders,Intruders,2011-10-07,"Fantasy, Horror, Thriller",100,"USA, UK, Spain",Antena 3 Films,5.4,45.0,R,,$,5486559,EUR,12300000.0,0,0,0,0,0,0,0,1
998,2011,Johnny English - La rinascita,Johnny English Reborn,2011-10-28,"Action, Adventure, Comedy",101,"UK, France, USA",Universal Pictures,6.3,46.0,PG,,$,160078586,$,45000000.0,0,0,0,0,0,1,0,0
999,2011,Violet & Daisy,Violet & Daisy,2013-06-06,"Action, Comedy, Crime",88,USA,Magic Violet,6.1,43.0,R,,$,108139,$,8000000.0,0,0,0,0,0,0,0,1
1000,2011,In Time,In Time,2012-02-17,"Action, Sci-Fi, Thriller",109,USA,Regency Enterprises,6.7,53.0,PG-13,,$,173930596,$,40000000.0,0,0,0,0,0,0,1,0
1001,2011,Quell'idiota di nostro fratello,Our Idiot Brother,2012-07-04,"Comedy, Drama",90,USA,Big Beach Films,6.4,60.0,R,,$,25804448,$,5000000.0,0,0,0,0,0,0,0,1
1003,2011,Amore e altri guai,Jumping the Broom,2011-07-29,"Comedy, Drama",112,USA,TriStar Pictures,5.7,56.0,PG-13,,$,38158601,$,6600000.0,0,0,0,0,0,0,1,0
1004,2011,Rampart,Rampart,2013-11-07,"Crime, Drama",108,USA,Lightstream Entertainment,5.8,70.0,R,,$,1567905,$,12000000.0,0,0,0,0,0,0,0,1
1005,2011,Tre uomini e una pecora,A Few Best Men,2012-02-10,"Comedy, Romance",97,"Australia, UK",Screen Australia,5.7,,NR,,$,15521362,AUD,11620000.0,0,0,0,0,1,0,0,0
1006,2011,Terraferma,Terraferma,2011-09-07,Drama,88,"Italy, France",Cattleya,6.8,57.0,R,,$,2343302,EUR,11254500.0,0,0,0,0,0,0,0,1
1011,2011,Four,Four,2011-10-21,Thriller,85,UK,Oh My! Productions,4.2,,R,,$,1198,GBP,720000.0,0,0,0,0,0,0,0,1
1013,2011,The Double,The Double,2012-03-09,"Action, Drama, Thriller",98,"USA, United Arab Emirates",Hyde Park Entertainment,5.9,37.0,R,,$,4729855,$,13500000.0,0,0,0,0,0,0,0,1
1019,2011,The Cup,The Cup,2011-10-13,"Biography, Drama, Sport",99,Australia,Film Victoria,5.6,33.0,G,,$,2660645,AUD,12450000.0,0,0,1,0,0,0,0,0
1020,2011,Super 8,Super 8,2011-09-09,"Action, Adventure, Sci-Fi",112,USA,Paramount Pictures,7.0,72.0,PG-13,,$,260095986,$,50000000.0,0,0,0,0,0,0,1,0
1026,2011,The Veteran,The Veteran,2011-04-29,"Action, Thriller",98,UK,DMK Productions,5.8,,R,,$,33229,GBP,3024000.0,0,0,0,0,0,0,0,1
1028,2011,Marilyn,My Week with Marilyn,2012-06-01,"Biography, Drama",99,"UK, USA",The Weinstein Company,6.9,65.0,R,,$,35057696,GBP,9216000.0,0,0,0,0,0,0,0,1
1038,2011,The Artist,The Artist,2011-12-09,"Comedy, Drama, Romance",100,"France, Belgium, USA",Studio 37,7.9,89.0,PG-13,,$,133432856,$,15000000.0,0,0,0,0,0,0,1,0
1040,2011,Una sposa in affitto,The Decoy Bride,2011-09-16,"Comedy, Drama, Romance",89,UK,Isle of Man Film,6.2,42.0,PG,,$,117754,GBP,3600000.0,0,0,0,0,0,1,0,0
1041,2011,Colombiana,Colombiana,2011-07-27,"Action, Drama, Thriller",108,"France, Mexico, USA, Canada",TriStar Pictures,6.4,45.0,PG-13,,$,71508440,$,40000000.0,0,0,0,0,0,0,1,0
1043,2011,Sket,Sket,2011-10-28,"Crime, Drama, Thriller",83,UK,Gunslinger,4.7,,NR,,$,227283,$,1000000.0,0,0,0,0,1,0,0,0
1046,2011,The Chaperone - In gita per caso,The Chaperone,2011-03-24,"Action, Comedy, Family",103,USA,Snowfall Films,5.0,33.0,PG-13,The Chaperone,$,279147,$,3000000.0,0,1,0,0,0,0,1,0
1061,2011,Trespass,Trespass,2011-10-21,"Crime, Drama, Thriller",91,"USA, Bulgaria",Millennium Films,5.3,37.0,R,,$,10117966,$,35000000.0,0,0,0,0,0,0,0,1
1062,2011,Take Shelter,Take Shelter,2012-06-29,"Drama, Horror, Thriller",121,USA,Hydraulx,7.4,85.0,R,,$,3741098,$,5000000.0,0,0,0,0,0,0,0,1
1071,2011,Creature,Creature,2011-09-09,Horror,93,USA,The Bubble Factory,3.6,31.0,R,,$,533235,$,3000000.0,0,0,0,0,0,0,0,1
1086,2011,1921 - Il mistero di Rookford,The Awakening,2011-12-02,"Horror, Thriller",102,UK,StudioCanal,6.5,53.0,R,The Awakening,$,6879667,GBP,4320000.0,0,1,0,0,0,0,0,1
1088,2011,Dark Horse,Dark Horse,2012-06-29,"Comedy, Drama",86,USA,Double Hope Films,5.9,66.0,NR,,$,337150,$,2000000.0,0,0,0,0,1,0,0,0
1090,2011,Carnage,Carnage,2011-09-16,"Comedy, Drama",80,"France, Germany, Poland, Spain, USA",SBS Productions,7.2,61.0,R,,$,30722632,$,25000000.0,0,0,0,0,0,0,0,1
1101,2011,Un giorno questo dolore ti sarà utile,Someday This Pain Will Be Useful to You,2012-02-24,Drama,95,"Italy, USA",Jean Vigo Italia,5.8,20.0,NR,,$,666922,$,8000000.0,0,0,0,0,1,0,0,0
1102,2011,ESP - Fenomeni paranormali,Grave Encounters,2011-06-01,"Adventure, Fantasy, Horror",92,Canada,Digital Interference Productions,6.1,33.0,NR,,$,4055919,CAD,85000.0,0,0,0,0,1,0,0,0
1104,2011,33 Postcards,33 Postcards,2011-09-02,"Crime, Drama, Music",97,"China, Australia",Portal Pictures,6.2,33.0,NR,,$,7547,AUD,2490000.0,0,0,0,0,1,0,0,0
1105,2011,Bernie,Bernie,2012-06-22,"Biography, Comedy, Crime",99,USA,Mandalay Vision,6.8,75.0,PG-13,,$,10173061,$,5000000.0,0,0,0,0,0,0,1,0
1109,2011,Lovely Molly,Lovely Molly,2012-06-29,"Drama, Horror",100,USA,Amber Entertainment,5.3,50.0,R,,$,638274,$,1000000.0,0,0,0,0,0,0,0,1
1112,2011,Nella terra del sangue e del miele,In the Land of Blood and Honey,2012-02-16,"Drama, Romance, War",127,USA,GK Films,4.5,56.0,R,,$,1203699,$,13000000.0,0,0,0,0,0,0,0,1
1115,2011,Another Happy Day,Another Happy Day,2011-12-08,"Comedy, Drama",119,USA,Charter Management,6.1,46.0,R,,$,659937,$,4000000.0,0,0,0,0,0,0,0,1
1120,2011,Inbred,Inbred,2012-09-21,"Comedy, Horror",98,"Germany, UK",New Flesh Films,5.2,,R,,$,24,GBP,1800000.0,0,0,0,0,0,0,0,1
1122,2011,Shame,Shame,2012-01-13,Drama,101,"UK, Canada, USA",Fox Searchlight Pictures,7.2,72.0,NC17,,$,19123767,$,6500000.0,0,0,0,1,0,0,0,0
1123,2011,Penumbra,Penumbra,2012-02-02,"Horror, Thriller",90,"Argentina, Mexico",Cinemagroup,5.5,,NR,,$,47371,ARS,150000.0,0,0,0,0,1,0,0,0
