,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
398,2010,The American,The American,2010-09-10,"Crime, Drama, Thriller",105,"USA, UK",Focus Features,6.3,61.0,R,,$,67876281,$,20000000.0,0,0,0,0,0,0,0,1
407,2010,The Next Three Days,The Next Three Days,2011-04-08,"Action, Crime, Drama",133,"USA, France",Lionsgate,7.4,52.0,PG-13,,$,67448651,$,30000000.0,0,0,0,0,0,0,1,0
409,2010,Buried - Sepolto,Buried,2010-10-15,"Drama, Mystery, Thriller",95,Spain,Audiovisual Aval SGR,7.0,65.0,R,,$,19439764,$,3000000.0,0,0,0,0,0,0,0,1
411,2010,Stake Land,Stake Land,2011-06-17,"Drama, Horror, Sci-Fi",98,USA,Glass Eye Pix,6.5,66.0,R,,$,405380,$,650000.0,0,0,0,0,0,0,0,1
417,2010,Redemption Road,Redemption Road,2010-04-17,Drama,95,USA,Heavy Duty Entertainment,5.7,44.0,PG-13,,$,29384,$,2300000.0,0,0,0,0,0,0,1,0
418,2010,MacGruber,MacGruber,2010-05-21,"Action, Comedy",90,USA,Broadway Video,5.5,43.0,R,,$,9322895,$,10000000.0,0,0,0,0,0,0,0,1
419,2010,Monsters,Monsters,2011-03-04,"Adventure, Drama, Romance",94,"UK, Mexico, Guatemala",Protagonist Pictures,6.4,63.0,R,Monsters,$,5060438,$,500000.0,0,1,0,0,0,0,0,1
423,2010,Saw 3D - Il capitolo finale,Saw 3D,2010-11-19,"Horror, Mystery",90,"Canada, USA",Twisted Pictures,5.6,24.0,R,,$,136150434,$,20000000.0,0,0,0,0,0,0,0,1
425,2010,Abel,Abel,2010-05-28,"Comedy, Drama",82,Mexico,Canana Films,6.9,,NR,,$,2706679,$,1000000.0,0,0,0,0,1,0,0,0
427,2010,Logan,Logan,2010-09-10,"Comedy, Drama, Family",94,USA,Logan Films,6.1,,R,,$,7137,$,135000.0,0,0,0,0,0,0,0,1
432,2010,L'albero,The Tree,2011-07-08,"Drama, Romance",100,"France, Australia, Germany, Italy, USA",Les Films du Poisson,6.6,58.0,NR,,$,2450045,EUR,9520200.0,0,0,0,0,1,0,0,0
434,2010,Dead Awake,Dead Awake,2010-12-03,"Fantasy, Mystery, Romance",93,USA,New Films International,4.5,,NR,,$,318275,$,3500000.0,0,0,0,0,1,0,0,0
435,2010,Monogamy,Monogamy,2010-04-24,"Drama, Romance",96,USA,TBD,5.0,47.0,NR,,$,21527,$,5000000.0,0,0,0,0,1,0,0,0
448,2010,Il discorso del re,The King's Speech,2011-01-28,"Biography, Drama, History",118,"UK, USA, Australia",See-Saw Films,8.0,88.0,PG-13,,$,427374317,$,15000000.0,1,0,0,0,0,0,1,0
451,2010,Janie Jones,Janie Jones,2010-09-17,"Biography, Drama, Music",114,USA,Unified Pictures,6.6,52.0,PG-13,,$,6840,$,3000000.0,0,0,0,0,0,0,1,0
456,2010,Super - Attento crimine!!!,Super,2011-10-21,"Action, Comedy, Drama",96,USA,This Is That Productions,6.7,50.0,R,,$,422618,$,2500000.0,0,0,0,0,0,0,0,1
459,2010,Meek's Cutoff,Meek's Cutoff,2011-04-15,"Drama, Western",104,USA,Evenstar Films,6.5,85.0,PG,,$,1205257,$,2000000.0,0,0,0,0,0,1,0,0
462,2010,Limbo,Limbo,2010-09-10,Drama,105,"Norway, Denmark, Sweden, Trinidad and Tobago",SF Norge A/S,5.9,,R,,$,726533,$,3000000.0,0,0,0,0,0,0,0,1
466,2010,Archipelago,Archipelago,2011-03-04,Drama,114,UK,Wild Horses Film Company,6.4,82.0,NR,,$,499389,GBP,720000.0,0,0,0,0,1,0,0,0
469,2010,Trust,Trust,2011-04-28,"Crime, Drama, Thriller",106,USA,Millennium Films,6.9,60.0,R,,$,595802,$,4000000.0,0,0,0,0,0,0,0,1
470,2010,Everything Must Go,Everything Must Go,2011-10-14,Drama,97,USA,Temple Hill Entertainment,6.4,65.0,R,,$,2820490,$,5000000.0,0,0,0,0,0,0,0,1
471,2010,Beginners,Beginners,2011-12-09,"Comedy, Drama, Romance",105,USA,Olympus Pictures,7.2,81.0,R,,$,14311701,$,3200000.0,0,0,0,0,0,0,0,1
478,2010,Paranormal Activity 2,Paranormal Activity 2,2010-10-22,Horror,91,USA,Paramount Pictures,5.6,53.0,R,,$,177512032,$,3000000.0,0,0,0,0,0,0,0,1
487,2010,127 ore,127 Hours,2011-02-25,"Biography, Drama",94,"USA, UK, France",Fox Searchlight Pictures,7.5,82.0,R,,$,60738797,$,18000000.0,0,0,0,0,0,0,0,1
490,2010,The Grace Card,The Grace Card,2011-02-25,Drama,101,USA,GraceWorks Pictures,6.4,43.0,PG-13,,$,2430735,$,200000.0,0,0,0,0,0,0,1,0
497,2010,Country Strong,Country Strong,2011-06-10,"Drama, Music",117,USA,Screen Gems,6.3,45.0,PG-13,,$,20529194,$,15000000.0,0,0,0,0,0,0,1,0
498,2010,Neds,Neds,2011-01-21,Drama,124,"UK, France, Italy",Blue Light,7.0,,PG-13,,$,2019939,GBP,5760000.0,0,0,0,0,0,0,1,0
499,2010,The Trouble with Terkel,The Trouble with Terkel,2011-05-20,"Animation, Comedy, Drama",87,USA,Indican Pictures,7.1,,NR,,$,110289,$,1000000.0,0,0,0,0,1,0,0,0
502,2010,Skyline,Skyline,2011-01-14,"Action, Sci-Fi, Thriller",92,USA,Rogue Pictures,4.4,26.0,PG-13,,$,66984887,$,10000000.0,0,0,0,0,0,0,1,0
509,2010,Tiny Furniture,Tiny Furniture,2012-03-30,"Comedy, Drama, Romance",98,USA,IFC Films,6.2,72.0,NR,,$,416498,$,65000.0,0,0,0,0,1,0,0,0
514,2010,Tees Maar Khan,Tees Maar Khan,2010-12-24,"Comedy, Crime",135,India,Hari Om Entertainment Company,2.5,,NR,,$,2454414,$,4200000.0,0,0,0,0,1,0,0,0
529,2010,Insidious,Insidious,2011-10-28,"Horror, Mystery, Thriller",103,"USA, Canada, UK",FilmDistrict,6.8,52.0,PG-13,,$,99557032,$,1500000.0,0,0,0,0,0,0,1,0
540,2010,Rubber,Rubber,2010-11-10,"Comedy, Fantasy, Horror",82,"France, Angola",Realitism Films,5.8,59.0,R,,$,101729,$,500000.0,0,0,0,0,0,0,0,1
543,2010,Trick,Trick,2010-03-12,Action,95,Poland,Kino Swiat,5.7,,NR,,$,1849612,PLN,1442093.96,0,0,0,0,1,0,0,0
545,2010,Dabangg,Dabangg,2010-09-10,"Action, Comedy",126,India,Arbaaz Khan Productions,6.2,,NR,,$,2942554,$,9370000.0,0,0,0,0,1,0,0,0
547,2010,I Will Follow,I Will Follow,2010-09-18,Drama,80,USA,Kandoo Films,6.0,71.0,NR,,$,135809,$,50000.0,0,0,0,0,1,0,0,0
569,2010,Mordimi,Vampires Suck,2010-09-17,Comedy,82,USA,Regency Enterprises,3.4,18.0,PG-13,,$,80547866,$,20000000.0,0,0,0,0,0,0,1,0
589,2010,The Virginity Hit,The Virginity Hit,2010-09-24,Comedy,86,USA,Artists First,4.6,40.0,R,,$,636706,$,2000000.0,0,0,0,0,0,0,0,1
638,2011,The Rum Diary - Cronache di una passione,The Rum Diary,2012-04-24,"Comedy, Drama",119,"USA, UK",GK Films,6.2,56.0,R,The Rum Diary,$,30134958,$,45000000.0,0,1,0,0,0,0,0,1
