,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
264,L'uomo nell'ombra,The Ghost Writer,2010,2010-04-09,"Drama, Mystery, Thriller",128,"France, Germany, UK",R.P. Productions,"Ewan McGregor, Jon Bernthal, Tim Preece, Jim Belushi, Timothy Hutton, Anna Botting, Yvonne Tomlinson, Milton Welsh, Alister Mazzotti, Tim Faraday, Kim Cattrall, Kate Copeland, Soogi Kang, Lee Hong Thay, Olivia Williams",7.2,$ 45000000,$ 15541549,$ 60331447,77.0,PG-13,,,,
265,Due vite per caso,Due vite per caso,2010,2010-05-07,Drama,88,Italy,A Movie Productions,"Lorenzo Balducci, Ivan Franek, Isabella Ragonese, Sarah Felberbaum, Teco Celio, Monica Scattini, Rocco Papaleo, Riccardo Cicogna, Niccolò Senni, Ivano De Matteo, Roberta Fiorentini, Giovanni De Giorgi, Antonio Gerardi, Giuliano Ghiselli, Andrea Purgatori",6.2,,,,,,,,,
266,Holy Rollers,Holy Rollers,2010,2010-12-23,"Biography, Crime, Drama",89,USA,Deerjen Films,"Jesse Eisenberg, Justin Bartha, Ari Graynor, Danny A. Abeckaser, Mark Ivanir, Elizabeth Marvel, Jason Fuchs, Q-Tip, Hallie Eisenberg, Bern Cohen, Stella Keitel, David Vadim, Charlie Hewson, Penny Bittone, Ori Pfeffer",5.9,$ 1000000,$ 303064,$ 744266,51.0,R,,,,
267,Holyman Undercover,Holyman Undercover,2010,2010-04-10,Comedy,90,USA,Pure Flix Entertainment,"David A.R. White, Fred Willard, Andrea Logan, Jennifer Lyons, Edie McClurg, John Schneider, Clint Howard, Staci Keanan, Gregg Binkley, David Pires, Kass Connors, Josh Sussman, Laura Reilly, Briana Baker, Jodie Bartman",4.8,$ 1500000,,,,,,,,
268,Rudolfa mantojums,Rudolfa mantojums,2010,2010-01-15,"Comedy, Drama",114,Latvia,Latvijas Nacionalais Kino Centrs,"Romualds Ancans, Uldis Dumpis, Rezija Kalnina, Arturs Skrastins, Igrida Andrina, Ieva Ava, Olga Drege, Janis Elsts, Dainis Gadelis, Vitalijs Gavrilovs, Vadims Grosmans, Andris Keiss, Baiba Kranats, Dagmara Legante, Peteris Liepins",7.0,LVL 1500000,,$ 20317,,,,,,
269,On a Dark and Stormy Night,On a Dark and Stormy Night,2010,2013-04-09,"Horror, Thriller",80,USA,Falling Sky Entertainment,"Juan Riedinger, Eva-Maria Leonardou, Aaron Massey, Tamela D'Amico, Mike Tursi, Marlies Pinto, Anna Ward, Adrian Quihuis, Lee Brandt, Brian Joseph Ochab, Jason Shaw, Miguel Angel Lopez De Nava",1.9,$ 30000,,,,,,,,
270,Super Hybrid,Super Hybrid,2010,2011-08-04,"Horror, Sci-Fi, Thriller",94,"USA, Germany",Stallion Media,"Alden Adair, Shannon Beckner, Shane Bellegarde, Adrien Dorval, Lyndon Bray, Oded Fehr, Duncan Fisher, Ryan Kennedy, Tim McGrath, Melanie Papalia, John Reardon, Jennifer Selvig, Josh Strait, Kent Nolan, Don Wren",3.9,$ 13000000,,,,,,,,
271,The Karate Kid - La leggenda continua,The Karate Kid,2010,2010-08-20,"Action, Drama, Family",140,"USA, China",Columbia Pictures,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Rongguang Yu, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Jared Minns, Shijia Lü, Yi Zhao, Bo Zhang, Luke Carberry, Cameron Hillman, Ghye Samuel Brown",6.2,$ 40000000,$ 176591618,$ 359126022,61.0,PG,,,,
272,The Karate Kid - La leggenda continua,The Karate Kid,2010,2010-08-20,"Action, Drama, Family",140,"USA, China",Columbia Pictures,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Rongguang Yu, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Jared Minns, Shijia Lü, Yi Zhao, Bo Zhang, Luke Carberry, Cameron Hillman, Ghye Samuel Brown",6.2,$ 40000000,$ 176591618,$ 359126022,61.0,PG,,,,
273,Agua fria de mar,Agua fria de mar,2010,2011-03-18,Drama,83,"Costa Rica, France, Spain, Netherlands, Mexico",Les Films du Requin,"Monserrat Fernández, Lil Quesada Morúa, Luis Carlos Bogantes, Adriana Alvarez",5.6,$ 1015837,,,,,,,,
