,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
0,Pál Adrienn,Pál Adrienn,2010,2011-03-17,Drama,136,"Hungary, France, Austria, Netherlands",KMH Film,"Éva Gábor, István Znamenák, Ákos Horváth, Lia Pokorny, Izabella Hegyi, Szabolcs Thuróczy, Ági Margitai, Eszter Márton, Lóránt Matta, Róbert Kardos, Éva Kovács, Gizella Koffler, Krisztina Urbanovits, Mária Erdélyi, Andrea Takáts",6.7,,,,,,,,,
1,A zöld sárkány gyermekei,A zöld sárkány gyermekei,2010,2011-04-07,Drama,89,Hungary,Mythberg Films,"Zoltán Rátóti, Yu Debin, Eszter Bánfalvi, Ferenc Lengyel, Attila Egyed, Shan Yu Tio, Erika Horváth, Uwe Lauer, Gábor Pintér, Szabolcs Thuróczy, Oszkár Ács",6.8,,,,,,,,,
2,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,2012-12-02,"Animation, Adventure, Sci-Fi",45,USA,Jupiter 9 Productions,"Chris Pine, Amanda Peet, Samuel L. Jackson, Hayden Christensen, James Earl Jones, Sandra Oh, William Shatner, Robert Picardo, Brent Spiner, Mark Hamill, Jason Alexander, Tom Kenny, Neil Armstrong, Abigail Breslin, Doug Jones",5.1,$ 20000000,,,,,,,,
3,In My Sleep,In My Sleep,2010,2010-04-23,"Drama, Mystery, Thriller",104,USA,Morning Star Pictures,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Kelly Overton, Amy Aquino, Tony Hale, Kevin Kilner, Aidan Mitchell, Michael Badalucco, Beth Grant, Alexandra Paul, Kirsten Vangsness, Allan Wasserman, Patrick Labyorteaux",5.5,$ 1000000,$ 30158,$ 30158,33.0,PG-13,,,,
4,Anderson's Cross,Anderson's Cross,2010,2010-05-20,"Comedy, Drama, Romance",98,USA,Illumination Pictures,"Michael Warren, Joanna Cassidy, Joyce Guy, Bill Moseley, Jerome Elston Scott, Alan Blumenfeld, Art Evans, Nicholas Downs, Heather Bergdahl, Micah Stuart, Vera Yell, Mary Jo Catlett, James Snyder, Ryan Carnes, Taran Killam",5.1,$ 300000,,,,,,,,
5,Rapunzel: L'intreccio della torre,Tangled,2010,2010-11-26,"Animation, Adventure, Comedy",100,USA,Walt Disney Animation Studios,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein, Nathan Greno, Byron Howard, Tim Mertens, Michael Bell, Bob Bergen",7.7,$ 260000000,$ 200821936,$ 592461732,71.0,PG,Music by Alan Menken; Lyric by Glenn Slater,MUSIC (Original Song),False,Tangled
6,Utomlennye solntsem 2,Utomlennye solntsem 2,2010,2010-04-22,"Drama, History, War",181,Russia,Three T Productions,"Nikita Mikhalkov, Oleg Menshikov, Nadezhda Mikhalkova, Sergey Makovetskiy, Dmitriy Dyuzhev, Artur Smolyaninov, Andrey Merzlikin, Maksim Sukhanov, Evgeniy Stychkin, Evgeniy Mironov, Andrey Panin, Sergey Garmash, Viktoriya Tolstoganova, Artyom Mikhalkov, Valeriy Zolotukhin",4.2,$ 45000000,,$ 8266778,,,,,,
7,Tekken,Tekken,2010,2011-08-05,"Action, Crime, Drama",87,"Japan, USA",CST Productions,"Jonathan Patrick Foo, Kelly Overton, Cary-Hiroyuki Tagawa, Ian Anthony Dale, Cung Le, Darrin Dewitt Henson, Luke Goss, Mircea Monroe, Tamlyn Tomita, Candice Hillebrand, Marian Zapico, Gary Daniels, John Pyper-Ferguson, Roger Huerta, Lateef Crowder",4.8,$ 30000000,,$ 1697207,,R,,,,
8,Disconnect,Disconnect,2010,2010-08-01,"Drama, Mystery, Sci-Fi",112,USA,Dreamscape Cinema,"Steffany Huckaby, Amanda Troop, Eddie Jones, Holmes Osborne, Michael Muhney, Tami Erin, Curtis Pettijohn, Devorah Eizikovic Richards, Will Zahrn, Karla Strum, Dick Ballard, Linda Ballard, Kalii Baxton, Greg Beam, Andrew Bendel",4.3,,,,,R,,,,
9,Venus & Vegas,Venus & Vegas,2010,2010-11-01,"Action, Comedy, Crime",95,USA,PasoFino Entertainment,"Donald Faison, Eddie Kaye Thomas, Eddie Guerra, Abraham Benrubi, Jaime Pressly, Molly Sims, Roselyn Sanchez, Florence Henderson, Jon Polito, Paul Ben-Victor, Bergen Williams, Joe Rogan, Daisy McCrackin, Eileen Ryan, Jackie Martling",4.1,$ 5000000,,,,,,,,
10,A cena con un cretino,Dinner for Schmucks,2010,2010-11-05,Comedy,114,USA,Paramount Pictures,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Stephanie Szostak, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Larry Wilmore, Kristen Schaal, P.J. Byrne, Andrea Savage, Nick Kroll, Randall Park",5.9,$ 69000000,$ 73026337,$ 86855739,56.0,PG-13,,,,
11,A-Team,The A-Team,2010,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK",Twentieth Century Fox,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley, Patrick Wilson, Gerald McRaney, Henry Czerny, Yul Vazquez, Brian Bloom, Maury Sterling, Terry Chen, Omari Hardwick, David Hugghins, Jacob Blair",6.7,$ 110000000,$ 77222099,$ 177238796,47.0,PG-13,,,,
12,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,Lee Unkrich,ANIMATED FEATURE FILM,True,
13,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,Music and Lyric by Randy Newman,MUSIC (Original Song),True,
14,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,"Darla K. Anderson, Producer",BEST PICTURE,False,
15,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,Tom Myers and Michael Silvers,SOUND EDITING,False,
16,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Emily Hahn, Laurie Metcalf, Blake Clark, Teddy Newton",8.3,$ 200000000,$ 415004880,$ 1066969703,92.0,G,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",WRITING (Adapted Screenplay),False,
17,Segurança Nacional,Segurança Nacional,2010,2010-05-07,Action,86,Brazil,G.I. Films,"Thiago Lacerda, Ângela Vieira, Milton Gonçalves, Marcio Rosario, Gracindo Júnior, Ailton Graça, Sheila Mello, Viviane Victorette, Gilberto Torres, Sônia Lima, Tanah Correa, Cesar Cabrera, Joaquín Cosio, Jose Chato Gomez, Javier Robles",3.5,BRL 3000000,,$ 131300,,,,,,
18,Milenge Milenge,Milenge Milenge,2010,2010-07-09,"Drama, Romance",109,India,Eros International,"Kareena Kapoor, Shahid Kapoor, Aarti Chhabria, Delnaaz Irani, Satish Shah, Tanaaz Currim Irani, Vijay Kashyap, Satish Kaushik, Sarfaraz Khan, Kiron Kher, Firdaus Mevawala, Hemant Pandey, Panini Rajkumar, Himani Shivpuri, Jaywant Wadkar",4.1,,,$ 229104,,,,,,
19,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,2010-11-19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",Universal Pictures,"Michael Cera, Kieran Culkin, Anna Kendrick, Alison Pill, Aubrey Plaza, Mary Elizabeth Winstead, Jason Schwartzman, Johnny Simmons, Mark Webber, Ellen Wong, Satya Bhabha, Will Bowes, Celine Lepage, Keita Saitou, Mark Leroy",7.5,$ 60000000,$ 31524275,$ 47664559,69.0,PG-13,,,,
20,Diary of a Bad Lad,Diary of a Bad Lad,2010,2010-02-27,"Comedy, Crime",92,UK,Pleased Sheep Productions,"Joe O'Byrne, Paul Birtwistle, Donna Henry, Roxanne Gregory, Clive Bonelle, James Foster, Jonathan Williams, Tim Paley, Chris Leonard, Michael Booth, Charlie Anderson, Bob Atkinson, Jason Blacow, Alison Booth, Louise Brand",3.7,$ 350000,,,,,,,,
21,Mad World,Mad World,2010,2010-08-29,Drama,98,USA,,"Gary Cairns, Dylan Booth, Matthew Thompson, James Lee Martinec, Chad Mountain, Jerry G. Angelo, Kelly Musson, Barry Ratcliffe, Eugenia Care, David Huynh, David Dortch, David Alan Graf, Terrell Byrd, Parker Baltimore, Mercy Baron",6.2,$ 50000,,,,,,,,
22,La città verrà distrutta all'alba,The Crazies,2010,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,"Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker, Christie Lynn Smith, Brett Rickaby, Preston Bailey, John Aylward, Joe Reegan, Glenn Morshower, Larry Cedar, Gregory Sporleder, Mike Hickman, Lisa K. Wyatt, Justin Welborn",6.5,$ 20000000,$ 39123589,$ 54806823,56.0,R,,,,
23,La città verrà distrutta all'alba,The Crazies,2010,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,"Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker, Christie Lynn Smith, Brett Rickaby, Preston Bailey, John Aylward, Joe Reegan, Glenn Morshower, Larry Cedar, Gregory Sporleder, Mike Hickman, Lisa K. Wyatt, Justin Welborn",6.5,$ 20000000,$ 39123589,$ 54806823,56.0,R,,,,
24,Drunkboat,Drunkboat,2010,2013-06-14,Drama,98,USA,Drunkboat Chicago LLC,"John Malkovich, John Goodman, Jacob Zachar, Brian Deneen, Skipp Sudduth, Jim Ortlieb, Dana Delany, Steve Haggard, Bryce Pegelow, Christina Clark, Zach Gray, Magica Bottari, Martha Teagle, Elizabeth Hipwell, Joey Tomaska Jr.",4.9,,,,,PG,,,,
25,Satan Hates You,Satan Hates You,2010,2011-10-18,Horror,94,USA,Glass Eye Pix,"Don Wood, Christine Spencer, Angus Scrimm, Reggie Bannister, Larry Fessenden, Bradford Scobie, Christina Campanella, Turquoise Taylor Grant, Matt Huffman, Michael Berryman, Ruth Kulerman, Jennifer Boutell, Debbie Rochon, Amy Chang, Wes Day",4.4,,,,,NR,,,,
26,Federal,Federal,2010,2010-10-29,"Drama, Thriller",91,"Brazil, France, Colombia",BSB Cinema,"Michael Madsen, Selton Mello, Carolina Gómez, Roberto Cano, Carlos Alberto Riccelli, Eduardo Dussek, Christovam Netto, Analu Silveira, Adriano Siri, Cesario Augusto, Similião Aurélio, Flávio Cardoso, Solange Barros",3.2,EUR 2000000,,$ 568819,,,,,,
27,Piranha 3D,Piranha 3D,2010,2011-03-04,"Comedy, Horror",88,"USA, Japan",Dimension Films,"Richard Dreyfuss, Ving Rhames, Elisabeth Shue, Christopher Lloyd, Eli Roth, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook, Riley Steele, Adam Scott, Ricardo Chavira, Dina Meyer, Paul Scheer, Brooklynn Proulx",5.4,$ 24000000,$ 25003155,$ 83188165,53.0,,,,,
28,Komaram Puli,Komaram Puli,2010,2010-09-10,"Action, Crime, Thriller",163,India,Sri Kanakaratna Movies,"Manoj Bajpayee, Shriya Saran, Pawan Kalyan, Nassar, Girish Karnad, Ali, Saranya Ponvannan, Banerjee, Nikesha Patel, Cochin Hanifa, Kovai Sarala, Brahmaji, Charan Raj, Raji Venkata Jyothi Shatamraju, Master Bharath",3.5,INR 400000000,,,,,,,,
29,Harlem Hostel,Harlem Hostel,2010,2010-02-12,"Comedy, Drama",81,USA,Mira Productions,"Julissa Bermudez, Celinez Bosque, Judy Courtland, Lloyd DeLeon, Danny A. Gonzales, Steven Leon, Angelo Lozada, Nestor Miranda, Dawn Noel, Ramon Rodriguez, Rafael Sardina, Barbara Wittman, Reymond Wittman",3.9,,,,,,,,,
30,Prince of Persia - Le sabbie del tempo,Prince of Persia: The Sands of Time,2010,2010-05-19,"Action, Adventure, Fantasy",116,USA,Walt Disney Pictures,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint, Toby Kebbell, Richard Coyle, Ronald Pickup, Reece Ritchie, Gísli Örn Garðarsson, Claudio Pacifico, Thomas DuPont, Dave Pope, Domonkos Pardanyi, Massimiliano Ubaldi",6.6,$ 200000000,$ 90759676,$ 336365676,50.0,PG-13,,,,
31,Unstoppable - Fuori controllo,Unstoppable,2010,2010-11-12,"Action, Thriller",98,USA,Twentieth Century Fox,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee, Kevin Dunn, Kevin Corrigan, Kevin Chapman, Lew Temple, T.J. Miller, Jessy Schram, David Warshofsky, Andy Umberger, Elizabeth Mathis, Meagan Tandy, Dylan Bruce",6.8,$ 100000000,$ 81562942,$ 167805466,69.0,PG-13,Mark P. Stoeckinger,SOUND EDITING,False,
32,Perfect Life,Perfect Life,2010,2010-02-01,"Horror, Thriller",98,"USA, Luxembourg",Centurion,"Jesse Bradford, Sienna Guillory, Scot Williams, Steven Berkoff, Emily Hamilton, Justin Urich, Joanna Moskwa, Benedict Taylor, Sam Alexander, Scott Joseph, Jason Durran, Steven France, Zac Fox, Richard Pendry-King, Kai Portman",4.2,$ 10000000,,,,,,,,
33,The Losers,The Losers,2010,2010-07-23,"Action, Adventure, Crime",97,"USA, France",Warner Bros.,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James, Tanee McCall, Mark Ginther, Daniel Kalal, Colin Follenweider, Garrett Warren",6.3,$ 25000000,$ 23591432,$ 29397654,44.0,PG-13,,,,
34,Bandeiji,Bandeiji,2010,2010-01-16,"Drama, Music, Romance",119,Japan,Basara Pictures,"Jin Akanishi, Kii Kitano, Kengo Kôra, Ayumi Itô, Yuki Shibamoto, Nobuaki Kaneko, Hideyuki Kasahara, Anne Watanabe, Hatsunori Hasegawa, Yoshiyuki Ishizuka, Mayu Kitaki, Yoshimasa Kondô, Yuki Saitô, Kazuo Zaitsu",6.7,,,$ 4489883,,,,,,
35,Barry Munday - Papà all'improvviso,Barry Munday,2010,2018,"Comedy, Drama, Romance",95,USA,Stick 'N' Stone Productions,"Patrick Wilson, Judy Greer, Chloë Sevigny, Jean Smart, Malcolm McDowell, Billy Dee Williams, Cybill Shepherd, Shea Whigham, Barret Swatek, Missi Pyle, Christopher McDonald, Trieu Tran, Razaaq Adoti, Matt Winston, Kyle Gass",5.9,,,,28.0,R,,,,
36,Chasing 3000,Chasing 3000,2010,2010-07-16,"Family, Sport",115,USA,Pretty Dangerous Films,"Ray Liotta, Trevor Morgan, Rory Culkin, Lauren Holly, Keith David, Seymour Cassel, M. Emmet Walsh, Ricardo Chavira, Michael O'Keefe, Tania Raymonde, Lori Petty, Kevin Gage, Andrew Bryniarski, Willa Holland, Scott Aaronson",6.4,$ 10000000,,,,,,,,
37,The Invited,The Invited,2010,2015-03-17,"Horror, Thriller",95,USA,Dark Portal LLC,"Carlos Alazraqui, Ellen Albertini Dow, Dana Barron, Christa Bella, Eric Bowen, William Brent, Sarah Brown, Victor Browne, Judea Cavoto, James Anthony Cotton, Karyn Dahl, Emily Rose Everhard, Nick Fenske, Alfonso Freeman, Michael Greggans",4.0,$ 7000000,,,,,,,,
38,Puzzole alla riscossa,Furry Vengeance,2010,2010-05-07,"Comedy, Family",92,"USA, United Arab Emirates",Summit Entertainment,"Brendan Fraser, Ricky Garcia, Eugene Cordero, Patrice O'Neal, Jim Norton, Brooke Shields, Matt Prokop, Billy Bush, Ken Jeong, Angela Kinsey, Samantha Bee, Alice Drummond, Toby Huss, Skyler Samuels, Gerry Bednob",3.8,$ 35000000,$ 17630465,$ 36351945,23.0,PG,,,,
39,Ramona and Beezus,Ramona and Beezus,2010,2010-07-23,"Comedy, Drama, Family",104,USA,Fox 2000 Pictures,"Joey King, Selena Gomez, John Corbett, Bridget Moynahan, Ginnifer Goodwin, Josh Duhamel, Jason Spevack, Sierra McCormick, Sandra Oh, Kathryn Zenna, Janet Wright, Ruby Curtis, Hutch Dano, Patti Allan, Garnet Harding",6.5,$ 15000000,$ 26167002,$ 27293743,56.0,G,,,,
40,Amore & altri rimedi,Love & Other Drugs,2010,2011-02-18,"Comedy, Drama, Romance",112,USA,Fox 2000 Pictures,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht, Judy Greer, George Segal, Jill Clayburgh, Kate Jennings Grant, Katheryn Winnick, Kimberly Scott, Peter Friedman, Nikki Deloach, Natalie Gold",6.7,$ 30000000,$ 32367005,$ 102820008,55.0,,,,,
41,La leggenda della montagna incantata,The Legend of Secret Pass,2010,2019-01-15,"Animation, Family, Fantasy",92,USA,JC2 Animated Entertainment,"Zoe Axelrod, Shelley Berman, Michael Chiklis, David Cross, Debi Derryberry, Graham Greene, Kim Mai Guest, Cheryl Hines, Billy Jones, Gael MacGregor, Frankie Muniz, Joe Pantoliano, Ron Perlman, Christy Carlson Romano, Ramona Wright",5.0,$ 25400000,,,,,,,,
42,Eu e Meu Guarda-Chuva,Eu e Meu Guarda-Chuva,2010,2010-10-08,"Family, Fantasy",78,Brazil,2 Pilots Filmproduktion,"Lucas Cotrim, Victor Froiman, Rafaela Victor, Daniel Dantas, Camila Amado, Mariana Lima, Raul Barretto, Orã Figueiredo, Arnaldo Antunes, Paolla Oliveira, Felipe Kannenberg, Leandro Hassum, Francisco Gaspar, Gabi Lopes",5.9,,,$ 408388,,,,,,
43,King of the Avenue,King of the Avenue,2010,2010-09-17,"Drama, Fantasy, Thriller",83,"USA, Canada",Ironhog Motion Pictures,"Simon Rex, Ving Rhames, Esai Morales, Erick Nathan, Elizabeth Di Prinzio, Hemky Madera, Eddie B. Smith, Leonardo Castro, Hilda Marie Combs, Anthony Dilio, César Farrait, Jason Gillyard, Darrell 'Silver' Hughes, Gillie the Kid, Karen Posada",3.9,$ 2500000,,,,,,,,
44,L'illusionista,L'illusionniste,2010,2010-12-03,"Animation, Drama, Family",90,"France, UK",Pathé,"Jean-Claude Donda, Eilidh Rankin, Duncan MacNeil, Raymond Mearns, James T. Muir, Tom Urie, Paul Bandey",7.5,$ 17000000,$ 2231474,$ 6007194,82.0,,,,,
45,Night Catches Us,Night Catches Us,2010,2010-12-03,"Drama, Romance",90,USA,SimonSays Entertainment,"Anthony Mackie, Jamara Griffin, Sadiq Afif, Shango Rich, Kerry Washington, Ron Simons, Tariq Trotter, Damali Mason, Jann Ellis, Thomas Roy, Amari Cheatom, William Zielinski, Christopher Kadish, Jamie Hector, Nakia Dillard",6.2,,$ 76185,$ 76185,65.0,R,,,,
46,Wolfman,The Wolfman,2010,2010-02-12,"Drama, Fantasy, Horror",103,USA,Universal Pictures,"Simon Merrells, Gemma Whelan, Emily Blunt, Benicio Del Toro, Mario Marin-Borquez, Asa Butterfield, Cristina Contes, Anthony Hopkins, Art Malik, Malcolm Scates, Nicholas Day, Michael Cronin, David Sterne, David Schofield, Roger Frost",5.8,$ 150000000,$ 61979680,$ 139789765,43.0,R,Rick Baker and Dave Elsey,MAKEUP,True,
47,The First Grader,The First Grader,2010,2011-06-24,"Biography, Drama, Romance",103,"UK, USA, Kenya, France",BBC Films,"Naomie Harris, Oliver Litondo, Tony Kgoroge, Alfred Munyua, Shoki Mokgapa, Vusi Kunene, Agnes Simaloi, Kamau Mbaya, Emily Njoki, Lwanda Jawar, Dan 'Churchill' Ndambuki, Hannah Wacera, John Kimani, Macharia Kamau, Abubakar Mwenda",7.4,,$ 332000,$ 1237457,56.0,PG-13,,,,
48,13 - Se perdi... muori,13,2010,2010-03-01,"Crime, Drama, Thriller",91,USA,Alliance Cinema,"Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham, Stephen Beach, Mickey Rourke, Emmanuelle Chriqui, Michael Berry Jr., Mike D'Onofrio, Starla Benford, Ray Winstone, Daisy Tahan, Carlos Reig-Plaza, Forrest Griffin, Ed Bergtold",6.1,,,$ 3701600,29.0,R,,,,
49,Scontro tra titani,Clash of the Titans,2010,2010-04-02,"Action, Adventure, Fantasy",106,"USA, UK, Australia",Warner Bros.,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans, Izabella Miko, Liam Cunningham, Hans Matheson, Ashraf Barhom, Mouloud Achour, Ian Whyte",5.8,$ 125000000,$ 163214888,$ 493214993,39.0,PG,,,,
50,Scontro tra titani,Clash of the Titans,2010,2010-04-02,"Action, Adventure, Fantasy",106,"USA, UK, Australia",Warner Bros.,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans, Izabella Miko, Liam Cunningham, Hans Matheson, Ashraf Barhom, Mouloud Achour, Ian Whyte",5.8,$ 125000000,$ 163214888,$ 493214993,39.0,PG-13,,,,
51,5 giorni fuori,It's Kind of a Funny Story,2010,2010-10-08,"Comedy, Drama, Romance",101,USA,Focus Features,"Keir Gilchrist, Dana DeVestern, Lauren Graham, Jim Gaffigan, Karen Chilton, Zach Galifianakis, Aasif Mandvi, Jared Goldstein, Alan Aisenberg, Zoë Kravitz, Thomas Mann, Jeremy Davies, Rosalyn Coleman, Viola Davis, Lou Myers",7.1,$ 8000000,$ 6363628,$ 6491240,63.0,PG-13,,,,It's Kind of a Funny Story
52,L'acchiappadenti,Tooth Fairy,2010,2010-06-11,"Comedy, Family, Fantasy",101,"USA, Canada",Twentieth Century Fox,"Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane, Julie Andrews, Chase Ellison, Destiny Whitlock, Brandon T. Jackson, Dan Joffre, Ellie Harvie, Barclay Hope, Michael Daingerfield, Dale Wolfe, Josh Emerson",5.0,$ 48000000,$ 60022256,$ 112462508,36.0,,,,,
53,Plumíferos - Aventuras voladoras,Plumíferos - Aventuras voladoras,2010,2010-02-18,"Animation, Adventure, Comedy",80,"Argentina, USA",Televisión Federal (Telefe),"Mariano Martínez, Luisana Lopilato, Mirta Wons, Carla Peterson, Peto Menahem, Luis Machín, Esteban Prol, Fabio Di Tomaso, Drake Bell, Gina Briganti, Keith David, Harry Glennon, Ken Jeong, Dallas Lovato, Jon Lovitz",3.7,$ 750000,,$ 525312,,,,,,
54,Percy Jackson e gli dei dell'Olimpo - Il ladro di fulmini,Percy Jackson & the Olympians: The Lightning Thief,2010,2010-03-12,"Adventure, Family, Fantasy",118,"UK, Canada, USA",Fox 2000 Pictures,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Sean Bean, Pierce Brosnan, Steve Coogan, Rosario Dawson, Melina Kanakaredes, Catherine Keener, Kevin McKidd, Joe Pantoliano, Uma Thurman, Julian Richings, Bonita Friedericy",5.9,$ 95000000,$ 88768303,$ 226497209,47.0,PG,,,,
55,Lei è troppo per me,She's Out of My League,2010,2010-06-18,"Comedy, Romance",104,USA,DreamWorks,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrence, Lindsay Sloane, Kyle Bornheimer, Jessica St. Clair, Krysten Ritter, Debra Jo Rupp, Adam LeFevre, Kim Shaw, Jasika Nicole, Geoff Stults, Hayes MacArthur",6.4,$ 20000000,$ 32010860,$ 49779728,46.0,R,,,,
56,Il primo amore non si scorda mai,Flipped,2010,2010-09-10,"Comedy, Drama, Romance",90,USA,Castle Rock Entertainment,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Kevin Weisman, Morgan Lily, Ryan Ketzner, Gillian Pfaff, Michael Boza, Beau Lerner, Jacquelyn Evola, Taylor Groothuis",7.7,$ 14000000,$ 1755212,$ 4225921,45.0,PG,,,,Flipped
57,Appuntamento con l'amore,Valentine's Day,2010,2010-03-12,"Comedy, Romance",125,USA,New Line Cinema,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Carter Jenkins, Ashton Kutcher, Queen Latifah, Taylor Lautner",5.7,$ 52000000,$ 110485654,$ 216485654,34.0,PG-13,,,,
58,Dreamkiller,Dreamkiller,2010,2010-02-19,Thriller,110,USA,Delaware Pictures,"Dario Deak, John Savage, Tyrone Power Jr., Penny Vital, John Colton, Eddie Alfano, Karin Andrade, Roya Aryanpad, Chéri Ballinger, Roxanne Barker, Brad Bell, David Bertelsen, Lauren Bicknell, Greg Blessing, Kelly Chambers",2.8,$ 2500000,$ 15514,$ 15514,,,,,,
59,Waking Madison,Waking Madison,2010,2010,Drama,89,USA,Annapurna Productions,"Imogen Poots, Elisabeth Shue, Taryn Manning, Frances Conroy, Sarah Roemer, Will Patton, Wendy Glenn, Erin Kelly, Dominique DuVernay, Shanna Forrestall, Victoria Staley, Alec Rayme, McKinley Freeman, Samantha Beaulieu, Douglas M. Griffin",5.7,$ 3500000,,,,,,,,
60,The Town,The Town,2010,2010-10-08,"Crime, Drama, Thriller",125,USA,Warner Bros.,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, Slaine, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V.",7.5,$ 37000000,$ 92186262,$ 154026136,74.0,R,Jeremy Renner,ACTOR IN A SUPPORTING ROLE,False,
61,I ragazzi stanno bene,The Kids Are All Right,2010,2011-03-04,"Comedy, Drama, Romance",106,"USA, France",Focus Features,"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson, Yaya DaCosta, Kunal Sharma, Eddie Hassell, Zosia Mamet, Joaquín Garrido, Rebecca Lawrence Levy, Lisa Eisner, Eric Eisner, Sasha Spielberg, James MacDonald",7.0,$ 4000000,$ 20811365,$ 34758951,86.0,R,Mark Ruffalo,ACTOR IN A SUPPORTING ROLE,False,
