,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company_x,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors_y
0,In My Sleep,In My Sleep,2010,2010.4.23,"Drama, Mystery, Thriller",104,USA,English,Allen Wolf,Allen Wolf,Morning Star Pictures,5.5,"$1,000,000 ","$30,158 ",33,PG-13,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Phoebe Price, Kelly Overton, Amy Aquino, Tony Hale, Kevin Kilner, Aidan Mitchell, Michael Badalucco, Beth Grant, Alexandra Paul, Kirsten Vangsness, Patrick Labyorteaux, Allan Wasserman, Patrick Layorteaux, Bellamy Young, Shanna Collins, Marcelle Larice, Christopher Darga, Larry Clarke, Robert L. Joseph, Joseph A. Nuñez, Bunny Levine, Kathryn Fiore, Vanessa Lee Evigan, Natalie DuBose, Kevin Michael Curran, Sean Gabriel Moore, Joy Bisco, Nancy Sexton"
1,On the Road,On the Road,2012,2012.10.11,"Adventure, Drama, Romance",124,"France, USA, UK, Mexico, Canada, Brazil, Germany, Netherlands, Argentina","English, French",Walter Salles,"Jack Kerouac, Jose Rivera",MK2 Productions,6.1,"$25,000,000 ","$9,617,377 ",56,R,"Garrett Hedlund, Sam Riley, Kristen Stewart, Kirsten Dunst, Viggo Mortensen, Amy Adams, Tom Sturridge, Alice Braga, Marie-Ginette Guay, Elisabeth Moss, Danny Morgan, Charlie Haden, Brian Blade"
3,La preda perfetta,A Walk Among the Tombstones,2014,2014.9.18,"Action, Crime, Drama",114,USA,"English, Spanish, Urdu, Russian",Scott Frank,"Lawrence Block, Scott Frank",1984 Private Defense Contractors,6.5,"$28,000,000 ","$58,834,384 ",57,R,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Patrick F. McDade, Laura Birn, Luciano Acuna Jr., Hans Marrero, Adam David Thompson, Adam Thompson, Kim Rosen, Eric Nelsen, Jon Goracy, Razane Jammal, Stephanie Andujar, Al Nazemian, Sophia Frank, Susham Bedi, Purva Bedi, Novella Nelson, Marielle Heller, Astro, Frank DeJulio, Olafur Darri Olafsson, Mark Consuelos, Natia Dune, Genevieve Adams, Liana DeLaurent, Sebastian Roche, Danielle Rose Russell, David Anzuelo, Samuel Mercedes, Mike Figueroa, Mike Carlsen, Leon Addison Brown, Damion Omar Lee, Jeremie Harris, Jolly Abraham, Nina Polan, Briana Marin, Arthur Gerunda, Fabrizio Brienza, Dennis Funny, Whitney Able, Chinasa Ogbuagu, Louise G. Colón"
4,Jurassic World,Jurassic World,2015,2015.6.11,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",Universal Pictures,7,"$150,000,000 ","$1,670,401,444 ",59,PG-13,"Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Nicholas John Robinson, Omar Sy, Jake Johnson (XVI), Nick Robinson, Lauren Lapkus, Katie McGrath, Ty Simpkins, B.D. Wong, Irrfan Khan, Brian Tee, Eddie J. Fernandez, Andy Buckley (II), Kelly Washington, Divine Prince Ty Emmecca, Jennifer Rikert Wolski, Matthew Cardarople, Gary Weeks, Fileena Bahris, Hélène Cardona, Eric Edelstein, Inder Kumar, Courtney J. Clark, Colby Boothman-Shepard, Colby Boothman, Jimmy Fallon, James DuMont, Matthew Burke, Michael Papajohn, Isaac Keys, Anna Talakkottur, Patrick Crowley, William Gary Smith, Chad Randall, Bill Ogilvie, Alan Tam, Chloe Perrin, Kevin Foster, Brad Bird, Yvonne Welch, Timothy Eulich, Bonnie Wild, Colin Trevorrow"
5,The Rum Diary - Cronache di una passione,The Rum Diary,2011,2012.4.24,"Comedy, Drama",119,"USA, UK","English, Spanish, German",Bruce Robinson,"Bruce Robinson, Hunter S. Thompson",GK Films,6.2,"$45,000,000 ","$30,134,958 ",56,R,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway, Bruno Irizarry, Enzo Cilenti, Aaron Lustig, Tisuby González, Natalia Rivera, Karen Austin, Julio Ramos, Rafa Alvarez, Sasha Merced, Eduardo Cortés, Karimah Westbrook, Guillermo Valedón, William R. Charlton, Javier Grajeda, Miguel Angel Reyes, Terrance Harlness, Andy Umberger, Armando Perez Mantaras, Bill Chott, Gavin Houston, Lisa Robins, Noel Delgado, Alejandro Carpio, Jaime ""Jimmy"" Navarro, Jimmy Navarro, Carlos Alberto López, Jimmy Ortega, José Coriano, Angel Nolasco, Javier Ortiz-Cortés, Jorge Antares, Aurelio Lima, Luis Gonzaga, Randall Jacobs, Edgar Lebrón Landrau, Eric Colón, Daniel Kalal"
6,I tre marmittoni,The Three Stooges,2012,2012.6.27,"Comedy, Family",92,USA,English,"Bobby Farrelly, Peter Farrelly","Mike Cerrone, Bobby Farrelly",Twentieth Century Fox,5.1,"$30,000,000 ","$54,819,301 ",56,PG,"Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara, Jennifer Hudson, Craig Bierko, Stephen Collins, Larry David, Kirby Heyborne, Carly Craig, Kate Upton, Marianne Leone, Brian Doyle-Murray, Mike 'The Situation' Sorrentino, Nicole ""Snooki"" Polizzi, Jenni ""JWoww"" Farley, Ronnie Magro, Sammi ""Sweetheart"" Giancola, Avalon Robbins, Max Charles, Jake Peck, Patty Ross, Lee Armstrong, Emy Coligado, Ray Collins, Isaiah Mustafa, Mark J. Kogan, Michael D'Allessio, Donna D'Allessio, Bob Kocsis, Apple Kocsis, Jackie Flynn, Sandra Dorsey, Vince Canlas, Ric Reitz, Caryl West, Sayed Badreya, Johnny Seal, Deborah Walker, Michael L. Kuhn, Pamela Smith, Lucy Thomas, Charlie G. Thomas, Skyler Gisondo, Lance Chantiles-Wertz, Robert Capron, Danny Smith, Kyla Kenedy, Erin Allin O'Reilly, Caitlin Colford, Caroline Kimberly Scott, Mariann Neary, Jesse Farrelly, Jerod Mayo, Troy Brown, Patricia French, Roy Jenkins, Barry Guy, Matthew Collins, Matthew L. Collins, William F. Scannell, Jonathan Kennedy, Lin Shaye, Steve Tyler, Myron Parker Jr., J.R. Fondessy, Robert J. Benjamin, Reid Meadows, Dwight Howard, Dallas Hobbs, Carter Hayden, Cooper Callihan, Kieran Vine, Antonio Sabato Jr., Justin Lopez"
7,Rapunzel: L'intreccio della torre,Tangled,2010,2010.11.26,"Animation, Adventure, Comedy",100,USA,English,"Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm",Walt Disney Animation Studios,7.7,"$260,000,000 ","$592,461,732 ",71,PG,"Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein, Nathan Greno, Byron Howard, Tim Mertens, Bob Bergen, Susanne Blakeslee, June Christopher, Roy Conli, Susan Blakeslee, David Cowgill, Terri Douglas, Chad Einbinder, Patrick Fraley, Eddie Frierson, Jackie Gonneau, Nicholas Guest, Bridget Hoffman, Anne Lockhart, Mona Marshall, Scott Menville, Daniel A. Kaz, Laraine Newman, Paul Pape, Lynwood Robinson, Fred Tatasciore, Hynden Walch, Kari Wahlgren"
8,John Carter,John Carter,2012,2012.3.7,"Action, Adventure, Sci-Fi",132,USA,English,Andrew Stanton,"Andrew Stanton, Mark Andrews",Walt Disney Pictures,6.6,"$250,000,000 ","$284,139,100 ",51,PG-13,"Antonio Sabato Jr., Traci Lords, Phil Philmar, Si Evans"
9,Cowboys & Aliens,Cowboys & Aliens,2011,2011.10.14,"Action, Sci-Fi, Thriller",119,"USA, India","English, Apache languages",Jon Favreau,"Roberto Orci, Alex Kurtzman",Universal Pictures,6,"$163,000,000 ","$174,822,325 ",50,PG-13,"Daniel Craig, Olivia Wilde, Harrison Ford, Paul Dano, Adam Beach, Noah Ringer, Abigail Spencer, Sam Rockwell, Brendan Wayne, Buck Taylor, Matt Taylor, Cooper Taylor, Clancy Brown, Chris Browning, Ana de la Reguera, Brian Duffy, Julio Cedillo, Keith Carradine, Gavin Grazer, Toby Huss, Wyatt Russell, Jimmy Jatho, Kenny Call, Walton Goggins, Julio Cesar Cedillo, Garret James Noel, David O'Hara, Troy M. Gilbert, Chad Randall, Scout Hendrickson, Raoul Trujillo, David Midthunder, Troy M. Gilbert, Mo Brings Plenty, Phillip Pike, Calum Blaylock, Paul Ortega, Nathaniel Chee, Robyn Simmons, Simon Choneska, David Chee, Vonda Tso, Freddie Apache, Lariat Geronimo, Oliver Enjady, Hoyle Osborne, Rex Rideout"
10,A cena con un cretino,Dinner for Schmucks,2010,2010.11.5,Comedy,114,USA,English,Jay Roach,"David Guion, Michael Handelman",Paramount Pictures,5.9,"$69,000,000 ","$86,855,739 ",56,PG-13,"Paul Rudd, Steve Carell, Zach Galifianakis, Jemaine Clement, Stephanie Szostak, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Larry Wilmore, Kristen Schaal, P.J. Byrne, Andrea Savage, Nick Kroll, Randall Park, Lucy Davenport, Chris O'Dowd, Jeff Dunham, Octavia Spencer, Patrick Fischler, Rick Overton, Eric Winzenried, Nicole LaLiberte, Maria Zyrianova, Scott Weintraub"
11,A-Team,The A-Team,2010,2010.6.18,"Action, Adventure, Thriller",117,"USA, UK","English, Spanish, French, Swahili, German",Joe Carnahan,"Joe Carnahan, Brian Bloom",Twentieth Century Fox,6.7,"$110,000,000 ","$177,238,796 ",47,PG-13,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel, Patrick Wilson, Gerald McRaney, C. Ernst Harth, Henry Czerny, Yul Vázquez, Quinton ""Rampage"" Jackson, Brian Bloom, Maury Sterling, Terry Chen, Omari Hardwick, David Hugghins, Jacob Blair, Rad Daly, Kyle Riefsnyder, Andrew Coghlan, James O'Sullivan, Stefan Arngrim, Christian Tessier, William Stewart, Marc-Anthony Massiah, Kwesi Ameyaw, Robert Conway, Gardiner Millar, Anita Brown, Alex Madison, Benny Hernandez, Jimmy Ortega, Bo Anzo, Neil Schell, Leah Carnahan, Michael St. John Smith, Shaw Madson, Katie Boskovich, Tony Ali, Sam Radjinia, Billy Wickman, Brendan Penny, Jeanne-Melanie Haasbroek, Tom Butler, John Carnahan, Charles Cooper, Dirk Benedict, Dwight Schultz, Don Knodel, Natalie L. James, Vince Murdocco, Fraser Aitcheson, Jason Schombing, Stephane Fromont, Frank Maier, Anne Maier, Hitesh Jogia, Marwan Al-Shami, Ali Bordbar, Jennifer Cheon, Peter Fletcher, Alfred Jajjo, Jon Michael Johnson, Craig Loblaw, Patrick Merle, Julian Paul, Rafael Pellerin, Ralph Shaw, Darin Wong, Corey Burton"
12,The Possession,The Possession,2012,2012.10.25,"Horror, Mystery, Thriller",92,"USA, Canada",English,Ole Bornedal,"Juliet Snowden, Stiles White",Ghost House Pictures,5.9,"$14,000,000 ","$85,446,075 ",45,PG-13,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport, Matisyahu, Grant Show, Rob LaBelle, Nana Gbewonyo, Anna Hagan, Brenda Crichlow, Jay Brazeau, Iris Quinn, Graeme Duffy, David Hovan, Chris Shields, Adam Young, Jim Thorburn, Quinn Lord, Nimet Kanji, James O'Sullivan, Marilyn Norry, Armin Chaim Kornfeld, John Cassini, Josh Whyte, Greg Rogers, Agam Darshi, Jarett John, Tim Perez, Cameron Sprague, Jordan Stein, Charles Siegel, Ari Solomon, Alex Bruhanski, Richard Newman, Robert Morrissette, Sol Pavony, Erin Simms, Frank Ferrucci, Sharmaine Yeoh, Antoine Safi, Ned Bellamy"
13,Real Steel,Real Steel,2011,2011.11.25,"Action, Drama, Sci-Fi",127,"USA, India","English, Ukrainian",Shawn Levy,"John Gatins, Dan Gilroy",DreamWorks,7.1,"$110,000,000 ","$299,268,508 ",56,PG-13,"Hugh Jackman, Dakota Goyo, Anthony Mackie, Evangeline Lilly, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins, Sophie Levy, Tess Levy, Charlie Levy, Gregory Sims, Torey Adkins, Tom Carlson, John Hawkinson, David Alan Basche, Phil LaMarr, David Herbst, Julian Gant, Ken Alter, Leilani Barrett, Eric Gutman, Nick Yu, D.B. Dickerson, Peter Carey, Dan Lemieux, Rich Goteri, Tim Holmes, Ricky Wayne Robinson Jr., Taris Tyler, Kevin Dorman, John Manfredi"
14,The Giver - Il mondo di Jonas,The Giver,2014,2014.9.11,"Drama, Romance, Sci-Fi",97,"South Africa, Canada, USA",English,Phillip Noyce,"Michael Mitnick, Robert B. Weide",Tonik Productions,6.5,"$25,000,000 ","$66,980,456 ",47,PG-13,"Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård, Katie Holmes, Odeya Rush, Taylor Swift, Cameron Monaghan, Emma Tremblay"
15,Toy Story 3 - La grande fuga,Toy Story 3,2010,2010.7.7,"Animation, Adventure, Comedy",103,USA,"English, Spanish",Lee Unkrich,"John Lasseter, Andrew Stanton",Walt Disney Pictures,8.3,"$200,000,000 ","$1,066,969,703 ",92,G,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles, Michael Keaton, Wallace Shawn, John Ratzenberger, Estelle Harris, John Morris, Jodi Benson, Laurie Metcalf, Blake Clark, Teddy Newton, Bud Luckey, Beatrice Miller, Javier Fernández-Peña, Timothy Dalton, Lori Alan, Charlie Bright, Kristen Schaal, Jeff Garlin, Bonnie Hunt, John Cygan, Jeff Pidgeon, Whoopi Goldberg, Jack Angel, R. Lee Ermey, Jan Rabson, Richard Kind, Erik von Detten, Amber Kroner, Brianna Maiwand, Jack Willis"
16,Alita - Angelo della battaglia,Alita: Battle Angel,2019,2019.2.14,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",Robert Rodriguez,"James Cameron, Laeta Kalogridis",Twentieth Century Fox,7.3,"$170,000,000 ","$404,852,543 ",53,PG-13,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Eiza Gonzalez, Michelle Rodriguez, Casper Van Dien"
17,Lincoln,Lincoln,2012,2013.1.24,"Biography, Drama, History",150,"USA, India",English,Steven Spielberg,"Tony Kushner, Doris Kearns Goodwin",DreamWorks,7.3,"$65,000,000 ","$275,293,450 ",86,PG-13,"Daniel Day-Lewis, Sally Field, David Strathairn, Tommy Lee Jones, Joseph Gordon-Levitt, James Spader, Hal Holbrook, John Hawkes, Jackie Earle Haley, Bruce McGill, Tim Blake Nelson, Joseph Cross, Jared Harris, Lee Pace, Peter McRobbie, Gulliver McGrath, Gloria Reuben, Jeremy Strong, Michael Stuhlbarg, Boris McGiver, David Costabile, Stephen Spinella, Walton Goggins, David Warshofsky, Colman Domingo, David Oyelowo, Lukas Haas, Dane DeHaan, Carlos Thompson, Bill Camp, Elizabeth Marvel, Byron Jennings, Julie White, Charmaine Crowell-White, Charmaine Crowell, Ralph D. Edlow, Grainger Hines, Richard Topol, Walt Smith, Dakin Matthews, James ""Ike"" Eichling, Wayne Duvall, William Raymond, Ford Flannagan, Bob Ayers, Robert Peters, John Moon Martin, Kevin O'Donnell, Jamie Horton, Joseph Dellinger, Rick Warner, Elijah Chester, Dave Hager, Sean Haggerty, Michael Shiflett, Gregory Itzin, Stephen Dunn, Stephen McKinley Henderson, Chase Edmunds, John Hutton, Robert Ruffin, Drew Sease, John Lescault, Scott Wichmann, Adam Driver, Jean Kennedy Smith, Shirley Augustine, Sarah Wylie, Margaret Ann McGowan, Hilary Montgomery, Asa-Luke Twocrow, Lancer Shull, George Turman, Robert Wilharm, Kevin Kline, John Jones, Paul Gowans, Joseph Miller, John Bellemer, Mary Dunleavy, Christopher Evan Welch, Alan Sader, Gannon McHale, Ken Lambert, Tom Belgrey, Ted Johnson, Don Henderson Baker, Raynor Scheine, Armistead Nelson Wellford, Michael Ruff, Rich Wills, Stephen Bozzo, Christopher Alan Stewart, Teddy Eck, Todd Fletcher, Charles Kinney, Joseph Carlson, Michael Goodwin, Christopher Boyer, Joe Inscoe, Edward McDonald, S. Epatha Merkerson, Robert Shepherd, Todd Hunter, Martin D. Dew, James Batchelder, Gregory Hosaflook, Joe Kerkes, William Kaffenberger, Larry Van Hoose, C. Brandon Marshall, David Graham, Benjamin Shirley, Henry Kidd, Joseph Frances Filipowski, Thomas Aldridge, Sidney Blackmer, Jr., Billy Caldwell, Glenn Crone, Theodore Ewald, Raymond Johnson, Gary Keener, Stephen Dunford, David Doersch, Christopher Cartmill"
18,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,2010.11.19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",English,Edgar Wright,"Michael Bacall, Edgar Wright",Universal Pictures,7.5,"$60,000,000 ","$47,664,559 ",69,PG-13,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Chris Evans, Anna Kendrick, Brie Larson, Alison Pill, Aubrey Plaza, Brandon Routh, Jason Schwartzman, Johnny Simmons, Mark Webber, Mae Whitman, Ellen Wong, Benjamin Lewis, Satya Bhabha, Ben Lewis, Nelson Franklin, Kristina Pesic, Ingrid Haas, Kjartan Hewitt, Chantelle Chung, Matt Watts, Erik Knudsen, Maurie W. Kaufmann, Abigail Chu, Christine Watson, Don McKellar, Emily Kassie, Jung Yul Kim, Tennessee Thomas, Keita Saito, Shota Saito, Michael Lazarovitch, John Patrick Amedori, Joe Dinicol, Craig Stickland, Marlee Otto, Will Seatle Bowes, Celine Lepage, Bill Hader, Mark Leroy"
19,Shazam!,Shazam!,2019,2019.4.3,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",David F. Sandberg,"Henry Gayden, Henry Gayden",Warner Bros.,7.1,"$100,000,000 ","$365,971,656 ",71,PG-13,"Zachary Levi, Mark Strong (II), Asher Angel, Jack Dylan Grazer, Djimon Hounsou, Faithe Herman, Grace Fulton, Ian Chen, Jovan Armand, Marta Milans, Cooper Andrews, Ron Cephas Jones, Michelle Borth, Meagan Good, Adam Brody, Ross Butler, Stephannie Hawkins, Lovina Yavari, D.J. Cotrona, Natalia Safran, John Glover, Caroline Palmer, Ava Preston, Evan Marsh, Cassandra Ebner, Andi Osho, Mitra Suri, Lotta Losten, Shayna Ryan, Heather Capuano, Cyndy Day, David Kohlsmith, Rachel Boyd, Rachel Boyde, Ethan Pugiotto, Angelica Lisk, Sara Bennani, Kerri Kamara, Krystal Kiran Garib, Simon Northwood, Paloma Nunez, Lou Lou Safran, Brian Kaulback, Carson Manning, Harper Gunn, Ali Badshah, John Stead, Adam Rodness, Jeff Sanca, David J. MacNeil, Jesse Bond, Stephen Alexander, Tosh Robertson, Pamela Matthews, Dana Reznik"
20,Il gatto con gli stivali,Puss in Boots,2011,2011.12.16,"Animation, Adventure, Comedy",90,USA,"English, Spanish",Chris Miller,"Tom Wheeler, Brian Lynch",DreamWorks Animation,6.6,"$130,000,000 ","$554,987,477 ",65,PG,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Constance Marie, Guillermo del Toro, Bo Dietl, Ryan Crego, Tom Wheeler, Mike Mitchell, Bob Joles, Conrad Vernon, Nina Barry, Chris Miller, Latifa Ouaou, Tom McGrath, Bob Persichetti, Jessica Schulte"
22,Wonder Woman,Wonder Woman,2017,2017.6.1,"Action, Adventure, Fantasy",141,"USA, China, Hong Kong","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian",Patty Jenkins,"Allan Heinberg, Zack Snyder",Warner Bros.,7.4,"$149,000,000 ","$821,847,012 ",76,PG-13,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Saïd Taghmaoui, Ewen Bremner, Eugene Braverock, Elena Anaya, Lucy Davis, Lilly Aspell, Lisa Loven Kongsli, Ann J. Wolfe, Ann Ogbomo, Emily Carey, James Cosmo, Wolf Kahler, Alexander Mercury, Martin Bishop, Flora Nicholson, Pat Abernethy, Freddy Elletson, Sammy Hayman, Michael Tantrum, Philippe Spall, Edward Wolstenholme, Ian Hughes, Marko Leht, Steffan Rhodri, Andrew Byron, Dominic Kinnaird, Rachel Pickup, Ulli Ackermann, Frank Allen Forbes, Peter Stark, Rainer Bock, Jennie Eggleton, Josh Bromley, Eva Dabrowski, Harvey James, Danielle Lewis, Florence Kasumba, Eleanor Matsuura, Josette Simon, Doutzen Kroes, Hayley Warnes, Caitlin Burles, Jemma Moore, Samantha Jo, Brooke Ence, Madeleine Vall Beijner, Hari James, Jacqui-Lee Pryce, Betty Adewole, Caroline Maria Winberg, Lizzie Bowden, Kattreya Scheurer-Smith, Sharmina Harrower, Rekha Elizabeth Luther, Thaina Oliveira, Zinnia Kumar, Toma McDonagh, Amber Doyle, Freddy Carter, Fred Ferguson, Tim Pritchett, Gana Bayarsaikhan, Camilla Roholm, Stephanie Haymes-Roven, Nia Burke"
23,42 - La vera storia di una leggenda americana,42,2013,2013.4.12,"Biography, Drama, Sport",128,USA,English,Brian Helgeland,Brian Helgeland,Warner Bros.,7.5,"$40,000,000 ","$97,470,701 ",62,PG-13,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Hamish Linklater, Alan Tudyk, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr., Gino Anthony Pesi, Brett Cullen, Jesse Luken, Jamey Holliday, Derek Phillips, Jamie Ruehling, Blake Sanders, Johnny Knight, Clint O'Brien, Dusan Brown, Cherise Boothe, Friedel Pinkston, Linc Hand, Thomas Helgeland, Matt Clark, Peter Mackenzie, Joe Inscoe, Karole Foreman, Monnae Michaell, C.J. Nitkowski, Scott Callaway, Aaron Farb, James Rackley, Anthony Goolsby, Lou Criscuolo, Ross Hughes, Joe Knezevich, Mark Harelik, Kenny Cook, Rhoda Griffis, Dan Fenlan, Maury Covington, Henry Friedman, Jon Kohler, Marc Gowan, Jackson Walker, Danny Vinson, Ari Blinder, William Flaman, David Sweeney, Denise Moye, Peter Jurasik, Dan Mengini, Michael H. Cole, Janet Metzger, Holden Hansen, Dax Griffin, Jayson Warner Smith, Jeremy Taylor, Christopher Harvey, Kelley Jakle, Jud Tylor, Tobias Michael Finn, Ercell Grimes, Dwight Houser, Barry Suttle, Andrew B. Roberts, Jimmie L. Coleman, Steve Hicks, Wayne Hickey, Andrew Mullins, Dennis A. Spears, Gary Miller, Todd Wilson, David Thoms, Richard Tavernaro, Hunter Clowdus"
24,Vita di Pi,Life of Pi,2012,2012.12.20,"Adventure, Drama, Fantasy",127,"USA, Taiwan, UK, Canada","Arabic, English, Tamil, French, Japanese, Hindi, Chinese",Ang Lee,"Yann Martel, David Magee",Fox 2000 Pictures,7.9,"$120,000,000 ","$609,016,565 ",79,PG,"Suraj Sharma, Irrfan Khan, Tabu, Gérard Depardieu, Adil Hussain, Ayush Tandon, Rafe Spall, Bombay Jayashri"
25,La citt verr distrutta all'alba,The Crazies,2010,2010.4.23,"Horror, Thriller",101,"USA, United Arab Emirates",English,Breck Eisner,"Scott Kosar, Ray Wright",Overture Films,6.5,"$20,000,000 ","$54,806,823 ",56,R,"Timothy Olyphant, Radha Mitchell, Joe Anderson (VI), Danielle Panabaker, Christie Lynn Smith, Brett Rickaby, Preston Bailey, John Aylward, Joe Reegan, Glenn Morshower, Larry Cedar, Gregory Sporleder, Mike Hickman, Lisa K. Wyatt, Justin Welborn, Chet Grissom, Tahmus Rounds, Brett Wagner, Alex Van, Tony Winters, Frank Hoyt Taylor, Justin Miles, Marian Green, E. Roger Mitchell, Michael Cole, Mark Oliver, Lynn Lowry, Chris Carnel, Jimmy Waitman, Jay Pearson, Kathryn Kim, Adam Dingeman, Megan Hensley, Megan Hensely, Lori Beth Edgeman, Ann Roth, Michael ""Mickey"" Cole, Elizabeth Barrett, Rachel Storey, Bruce Aune, Jacqueline Sherrard, Pierre Gagnon, Mary Lynn Owen, Pierce Gagnon, Matthew Lintz, Wilbur Fitzgerald"
27,The Equalizer - Il vendicatore,The Equalizer,2014,2014.10.9,"Action, Crime, Thriller",132,USA,"English, Russian, Spanish",Antoine Fuqua,"Richard Wenk, Michael Sloan",Columbia Pictures,7.2,"$55,000,000 ","$192,330,738 ",57,R,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Bill Pullman, Melissa Leo, Haley Bennett, David Meunier, Johnny Skourtis, Alex Veadov, Vladimir Kulich, E. Roger Mitchell, James Wilcox, Mike P. O'Dea, Anastasia Mousis, Allen Maldonado, Chris Lemieux, Mike Morrell, Matt Lasky, Shawn Fitzgibbon, Vitaliy Shtabnoy, Timothy John Smith, Timothy Smith, Robert Wahlberg, Steve Sweeney, Owen Burke, Luz Sanchez, John Romualdi, Johnny Messner, Patrick Coppola, William Xifaras, Jenny Johnson, Peter Haydu, Tait Fletcher, Mark Stefanich, Dan Bilzerian, Matthew Leonard, Elisala Baker, Yan Dron"
28,Captain America - Il primo Vendicatore,Captain America: The First Avenger,2011,2011.7.22,"Action, Adventure, Sci-Fi",124,USA,"English, Norwegian, French",Joe Johnston,"Christopher Markus, Stephen McFeely",Paramount Pictures,6.9,"$140,000,000 ","$370,569,774 ",66,PG-13,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Richard Armitage, Stanley Tucci, Samuel L. Jackson, Toby Jones, Neal McDonough, Derek Luke, Kenneth Choi, J.J. Feild, Bruno Ricci, Lex Shrapnel, Michael Brandon, Martin T. Sherman, Natalie Dormer, Oscar Pearce, William Hope, Nicholas Pinnock, Marek Oravec, David Bradley, Leander Deeny, Sam Hoare, Simon Kunz, Kieran O'Connor, Jenna-Louise Coleman, Sophie Colouhoun, Doug Cockle, Ben Batt, Mollie Fitzgerald, Damon J. Driver, David McKail, Amanda Walker, Richard Freeman, Katherine Press, Sergio Corvino, Sergio Covino, Marcello Walton, Vincent Montuel, Fabrizio Santino, Maxwell Newman, Anatole Taubman, Jan Pohl, Erich Redman, Rosanna Hoult, Naomi Slights, Kirsty Mather, Megan Sanderson, Darren Simpson, Fernanda Toker, Laura Haddock, James Payton, Ronan Raftery, Nick Hendrix, Luke Allen-Gale, Jack Gordon, Ben Uttley, Kevin Millington, Patrick Monckeberg, Peter Stark, Amanda Righetti, Isobel Griffiths, Alan Silvestri"
29,Non buttiamoci gi�,A Long Way Down,2014,2014.3.20,"Comedy, Drama",96,"UK, Germany",English,Pascal Chaumeil,"Nick Hornby, Jack Thorne",Wildgaze Films,6.4,"$12,000,000 ","$7,257,942 ",34,R,"Pierce Brosnan, Toni Collette, Aaron Paul, Imogen Poots, Rosamund Pike, Sam Neill, Zara White, Josef Altin, Diana Kent, Shola Adewusi, Enrique Arce, Tuppence Middleton, Christos Tolera, Leo Bill, Honey Epstein"
30,Margaret,Margaret,2011,2012.6.1,Drama,150,USA,English,Kenneth Lonergan,Kenneth Lonergan,Fox Searchlight Pictures,6.4,"$14,000,000 ","$564,864 ",61,R,"Anna Paquin, Matt Damon, Mark Ruffalo, Matthew Broderick, Jean Reno, J. Smith-Cameron, Jeannie Berlin, Kieran Culkin, Rosemarie DeWitt, Sarah Steele, Olivia Thirlby, Stephen Adly Guirgis, Cyrus Hernstadt, Brittany Underwood, John Gallagher Jr., Michael Ealy, Allison Janney"
