,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company_x,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors_y
147,Fair Game - Caccia alla spia,Fair Game,2010,2010.10.22,"Biography, Drama, Thriller",108,"USA, United Arab Emirates","English, Arabic, French",Doug Liman,"Jez Butterworth, John-Henry Butterworth",River Road Entertainment,6.8,"$22,000,000 ","$25,806,953 ",69,PG-13,"Naomi Watts, Sean Penn, Bruce McGill, Michael Kelly, Ty Burrell, Jessica Hecht, Norbert Leo Butz, Rebecca Rigg, Brooke Smith, Tom McCarthy, Ashley Gerasimovich, Quinn Broggy, Noah Emmerich, Kristoffer Ryan Winters, Anand Tiwari, Mohamed Hanaa Abdel Fattah, Rashmi Rao, David Andrews, Tim Griffin, Sunil Malhotra, Khaled Nabawy, Mohamed Abdel Fattah, Jenny Maguire, David Warshofsky, Geoffrey Cantor, Adam LeFevre, Brian McCormack, James Rutledge, Tricia Munford, Michael Goodwin, Nassar, Polly Holliday, Sam Shepard, Chet Grissom, Liraz Charchi, Sonya Davison, Vanessa Chong, Stephanie Chai, Nicholas Sadler, Iris Bahr, Ghazil, Louis Ozawa Changchien, Remy Auberjonois, Sean Mahon, David Denman, Kevin Makely, Mousa Al Satari, Maysa Abdel Sattar, Rafat Basel, Judith Resnick, Ben Mac Brown, Satya Babha, Satya Bhabha, Nabil Koni, Mohammad Al Sawalga, Mohammad Al Sawalqa, David Iklu, Deidre Goodwin, Donna Placido, James Joseph O'Neil, Danni Lang, Jane Lee, James Moy, Judy Maier, Kola Ogundrian, Byron Utley, Anastasia Barzee, Sanousi Sesay"
148,Sucker Punch,Sucker Punch,2011,2011.3.25,"Action, Adventure, Fantasy",110,"USA, Canada","English, German",Zack Snyder,"Zack Snyder, Steve Shibuya",Warner Bros.,6,"$82,000,000 ","$89,792,502 ",33,PG-13,"Emily Browning, Abbie Cornish, Jena Malone, Jamie Chung, Oscar Isaac, Jon Hamm, Carla Gugino, Scott Glenn, Richard Cetrone, Gerard Plunkett, Malcom Scott, Ronald Selmour, Kelora Clingwell, Vanessa Hudgens, Frederique De Raucourt, Eli Snyder, Cainan Wiebe, Danny Bristol, Patrick Sabongui, John R. Taylor, John Hamm, Chris Nowland, Gina Garenkooper, A.C. Peterson, Revard Dufresne, Monique Ganderton, Lee Tomaschefski, Brad Kelly, Peter Bryant, Christine Willes, Michael D. Adamthwaite, Phillip Mitchell, Ian Tracey, Sean Campbell, Louise Hradsky, Arassay Reyes, Danielle Benton, Caitlin Goguen, Maiko Miyauchi, Juliana Semenova, Paula Giroday, Allie Bertram, Vicky Lambert, Caroline Torti, Chantal Hunt, Carla Catherwood, Stephanie Sy, Kathryn Schellenberg, Geneen Gorgiev, Annie Au, Tia Haraga, Hailley Caulfield, Daniela Dib, Jeff Dimitriou, John Howard, Thomas Fornataro, Antoine Baby Harry Calaway, G! Force, Nii Nortey Engmann, Gary A. Hecker"
149,Lottery Ticket,Lottery Ticket,2010,2010.8.20,Comedy,99,USA,English,Erik White,"Abdul Williams, Erik White",Alcon Entertainment,5,"$17,000,000 ","$24,719,879 ",50,PG-13,"Bow Wow, Brandon T. Jackson, Naturi Naughton, Loretta Devine, Ice Cube, Keith David, Terry Crews, Mike Epps, Charlie Murphy, Bill Bellamy, Gbenga Akinnagbe, Chris Williams (XII), Vince Green, Leslie Jones, Malieek Straughter, Jason Weaver, Teairra Mari, Fahim Najm, T-Pain, Stacie Davis, Andre Mayon, D.J. ""Bishop"" Rogers, Brittany Eady, Timfreit D'Rane, Mike Pniewski, Sky Cameron, Eric J. Little, Taneka Johnson, Tonea Stewart, IronE Singleton, Darryl D. Moore, Danielle Lewis, Shantis Thompson, Maria Duarte, Miko Defoor, Bobby L. Graham, Sr., L. Stephanie Ray, Lance Toland, Carl Rydlund"
150,Le cronache di Narnia - Il viaggio del veliero,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,2010.12.10,"Adventure, Family, Fantasy",113,"USA, UK",English,Michael Apted,"Christopher Markus, Stephen McFeely",Fox 2000 Pictures,6.3,"$155,000,000 ","$415,686,217 ",53,PG,"Georgie Henley, Skandar Keynes, Ben Barnes, Liam Neeson, Will Poulter, Gary Sweet, Terry Norris, Bruce Spence, Bille Brown, Laura Brent, Tilda Swinton, Anna Popplewell, William Moseley, Shane Rangi, Arthur Angel, Arabella Morton, Rachel Blakely, Steven Rooke, Tony Nixon, David Vallon, Jared Robinsen, Roy Billing, Neil G. Young, Greg Poppleton, Nicholas Neild, Nathaniel Parker, Daniel Poole, Mirko Grillini, Ron Kelly, Laurence Coy, Douglas Gresham, Michael Maguire, Catarina Hebbard, Tamati Rangi, Lucas Ross, Megan Hill, David Sachet, Ross Price, Simon Pegg, Ozzie Devrish"
151,Le avventure di Tintin - Il segreto dell'Unicorno,The Adventures of Tintin,2011,2011.10.28,"Animation, Action, Adventure",107,"USA, New Zealand, UK, France, Australia",English,Steven Spielberg,"Herg�, Steven Moffat",Columbia Pictures,7.3,"$135,000,000 ","$373,993,951 ",68,PG,"Toby Jones, MacKenzie Crook, Joe Starr, Tony Curran, Sonje Fortag, Cary Elwes, Phillip Rhys, Ron Bottitta, Mark Ivanir, Nathan Meister, Sebastian Roche, Kim Stengel, Muhamadi Ibrahim, Sana Etoile, Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Joey Starr, Enn Reitel"
152,Multiple Sarcasms,Multiple Sarcasms,2010,2010.4.8,Drama,97,USA,English,Brooks Branch,"Brooks Branch, Linda Morris",Multiple Avenue Releasing,4.9,"$2,500,000 ","$29,731 ",35,R,"Timothy Hutton, Mira Sorvino, Dana Delany, Mario Van Peebles, India Ennenga, Laila Robins, Stockard Channing, Nadia Dassouki, Chris Sarandon, Joan Jett, Marcus Schenkenberg, Franklin Ojeda Smith, Alex Manette, Erik Sheffer Stevens, Eric Sheffer Stevens, Tim Bohn, Julia Murney, Leslie Lyles, Paris Rose Yates, Stephen Singer, Jason Denuszek, Aileen Quinn, Brett Berg, Emily Tremaine, Meg Gibson, Lindsay Lopez, Leah O'Donnell, Joe Komara, Adam Zotovich, Amy Asmuth, Gina Bombara, Thomas Price, Doug Cangialosi, Enzo Penizzotto, Steve Kahlua"
153,Machete,Machete,2010,2011.5.6,"Action, Crime, Thriller",105,USA,"English, Spanish, Hungarian","Ethan Maniquis, Robert Rodriguez","Robert Rodriguez, _varo Rodr�_uez",Overnight Films,6.6,"$10,500,000 ","$45,491,656 ",60,R,"Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin, Michelle Rodriguez, Steven Seagal, Don Johnson, Billy Blair, Jeff Fahey, Lindsay Lohan, Shea Whigham, Tom Savini, Daryl Sabara, Elise Avellan, James Brownlee, Tina Rodriguez, Feliz Sabates, Electra Avellan, Juan Gabriel Pareja, Marci Madison, Alejandro Antonio Jiménez, Roland Ruiz, Gilbert Trejo, Mayra Leal, Alejandro Antonio, Jim Henry, Ara Celi, Alicia Rachel Marek, Vic Trevino, Tito Larriva, Jason Douglas, Doran Ingram, Mitchell Lance Adams, Brent Smiga, Chris Warner, Felix Sabates, Greg Ingram, Hugo Perez, Nina Leon, Cheryl ""Chin"" Cunningham, Nimród Antal, Al Dias, Dimitrius Pulido, Scott Jefferies, Edgar Arreola, Tommy Nix"
154,Dear John,Dear John,2010,2010.5.7,"Drama, Romance, War",108,USA,English,Lasse Hallstr�_,"Jamie Linden, Nicholas Sparks",Screen Gems,6.3,"$25,000,000 ","$114,984,666 ",43,PG-13,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena, Keith Robinson, Scott Porter, Leslea Fisher, William Howard, David Andrews, Mary Rachel Dudley, Bryce Hayes, R. Braeden Reed, Luke Benward, Tom Stearns, Michael Harding, Brett Rice, David Dwyer, Anthony Osment, Jim Wenthe, Matt Blue, Lauree Bradway, Glenn M. Tatum, Martin Coleman Bowen, Steven O'Connor, Maxx Hennard, Jessica Lucas, Teresa Smith, Shelley Reid, Cenk Otay, Russell A. Turner, Lisa Burrascano, Mary Fischer"
155,The Green Hornet,The Green Hornet,2011,2011.1.28,"Action, Comedy, Crime",119,USA,"English, Mandarin",Michel Gondry,"Seth Rogen, Evan Goldberg",Columbia Pictures,5.8,"$120,000,000 ","$227,817,248 ",39,PG-13,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson, Christoph Waltz, David Harbour, Edward James Olmos, Jamie Harris, Chad L. Coleman, Edward Furlong, Jill Remez, Joe O'Connor, James B. Harris, Morgan Rusler, Joshua Chandler Erenberg, Analeigh Tipton, Taylor Cole, Robert Clotworthy, Jamison Yang, Michael Holden, Irene White, Gary Davis, Angaleigh Tipton, Billy Mayo, Brandon Rudat, Beverly Brooks, Lu Parker, Diane Mizota, Theodore Bressman, Dave Rickley, Dina Mamedova, Tanner Gill, Jerry Trimble, George Fisher, Daniel Arrias, Eddie Perez, Bryan J. Thompson, Reuben Langdon, Amir Abdalla, Alexandra Lord, Christy Petersen, Frederick C. Ruiz, Keith Adams, Dennis Keiffer, Travon Magee, Dave A. Powledge, Jimmy Trimble"
156,Hanna,Hanna,2011,2011.8.12,"Action, Drama, Thriller",111,"USA, UK, Germany","English, French, German, Italian, Arabic, Spanish",Joe Wright,"Seth Lochhead, David Farr",Focus Features,6.8,"$30,000,000 ","$63,782,078 ",65,PG-13,"Saoirse Ronan, Cate Blanchett, Eric Bana, Jason Flemyng, Olivia Williams, Tom Hollander, Jessica Barden, Jamie Beamish, Vicky Krieps, Paris Arrowsmith, John Macmillan, Tim Beckmann, Paul Birchard, Christian Malcolm, Tom Hodgkins, Vincent Montuel, Nathan Nolan, Michelle Dockery, Aldo Maland, Mohammed Majd, Sebastian Hülk, Joel Basman, Matthias Brandt, _lvaro Cervantes, Marc Soto, Gudrun Ritter, Martin Wuttke"
