,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
3,2010,In My Sleep,In My Sleep,2010-04-23,"Drama, Mystery, Thriller",104,USA,Morning Star Pictures,5.5,33.0,PG-13,,,,,$,30158,$,1000000
5,2010,Rapunzel: L'intreccio della torre,Tangled,2010-11-26,"Animation, Adventure, Comedy",100,USA,Walt Disney Animation Studios,7.7,71.0,PG,Music by Alan Menken; Lyric by Glenn Slater,MUSIC (Original Song),False,Tangled,$,592461732,$,260000000
6,2010,Utomlennye solntsem 2,Utomlennye solntsem 2,2010-04-22,"Drama, History, War",181,Russia,Three T Productions,4.2,,,,,,,$,8266778,$,45000000
7,2010,Tekken,Tekken,2011-08-05,"Action, Crime, Drama",87,"Japan, USA",CST Productions,4.8,,R,,,,,$,1697207,$,30000000
10,2010,A cena con un cretino,Dinner for Schmucks,2010-11-05,Comedy,114,USA,Paramount Pictures,5.9,56.0,PG-13,,,,,$,86855739,$,69000000
11,2010,A-Team,The A-Team,2010-06-18,"Action, Adventure, Thriller",117,"USA, UK",Twentieth Century Fox,6.7,47.0,PG-13,,,,,$,177238796,$,110000000
12,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Lee Unkrich,ANIMATED FEATURE FILM,True,,$,1066969703,$,200000000
13,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Music and Lyric by Randy Newman,MUSIC (Original Song),True,,$,1066969703,$,200000000
14,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,"Darla K. Anderson, Producer",BEST PICTURE,False,,$,1066969703,$,200000000
15,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,Tom Myers and Michael Silvers,SOUND EDITING,False,,$,1066969703,$,200000000
16,2010,Toy Story 3 - La grande fuga,Toy Story 3,2010-07-07,"Animation, Adventure, Comedy",103,USA,Walt Disney Pictures,8.3,92.0,G,"Screenplay by Michael Arndt; Story by John Lasseter, Andrew Stanton and Lee Unkrich",WRITING (Adapted Screenplay),False,,$,1066969703,$,200000000
17,2010,Segurança Nacional,Segurança Nacional,2010-05-07,Action,86,Brazil,G.I. Films,3.5,,,,,,,$,131300,BRL,3000000
19,2010,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010-11-19,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",Universal Pictures,7.5,69.0,PG-13,,,,,$,47664559,$,60000000
22,2010,La città verrà distrutta all'alba,The Crazies,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,6.5,56.0,R,,,,,$,54806823,$,20000000
23,2010,La città verrà distrutta all'alba,The Crazies,2010-04-23,"Horror, Thriller",101,"USA, United Arab Emirates",Overture Films,6.5,56.0,R,,,,,$,54806823,$,20000000
26,2010,Federal,Federal,2010-10-29,"Drama, Thriller",91,"Brazil, France, Colombia",BSB Cinema,3.2,,,,,,,$,568819,EUR,2000000
27,2010,Piranha 3D,Piranha 3D,2011-03-04,"Comedy, Horror",88,"USA, Japan",Dimension Films,5.4,53.0,,,,,,$,83188165,$,24000000
30,2010,Prince of Persia - Le sabbie del tempo,Prince of Persia: The Sands of Time,2010-05-19,"Action, Adventure, Fantasy",116,USA,Walt Disney Pictures,6.6,50.0,PG-13,,,,,$,336365676,$,200000000
31,2010,Unstoppable - Fuori controllo,Unstoppable,2010-11-12,"Action, Thriller",98,USA,Twentieth Century Fox,6.8,69.0,PG-13,Mark P. Stoeckinger,SOUND EDITING,False,,$,167805466,$,100000000
33,2010,The Losers,The Losers,2010-07-23,"Action, Adventure, Crime",97,"USA, France",Warner Bros.,6.3,44.0,PG-13,,,,,$,29397654,$,25000000
38,2010,Puzzole alla riscossa,Furry Vengeance,2010-05-07,"Comedy, Family",92,"USA, United Arab Emirates",Summit Entertainment,3.8,23.0,PG,,,,,$,36351945,$,35000000
39,2010,Ramona and Beezus,Ramona and Beezus,2010-07-23,"Comedy, Drama, Family",104,USA,Fox 2000 Pictures,6.5,56.0,G,,,,,$,27293743,$,15000000
40,2010,Amore & altri rimedi,Love & Other Drugs,2011-02-18,"Comedy, Drama, Romance",112,USA,Fox 2000 Pictures,6.7,55.0,,,,,,$,102820008,$,30000000
44,2010,L'illusionista,L'illusionniste,2010-12-03,"Animation, Drama, Family",90,"France, UK",Pathé,7.5,82.0,,,,,,$,6007194,$,17000000
46,2010,Wolfman,The Wolfman,2010-02-12,"Drama, Fantasy, Horror",103,USA,Universal Pictures,5.8,43.0,R,Rick Baker and Dave Elsey,MAKEUP,True,,$,139789765,$,150000000
49,2010,Scontro tra titani,Clash of the Titans,2010-04-02,"Action, Adventure, Fantasy",106,"USA, UK, Australia",Warner Bros.,5.8,39.0,PG,,,,,$,493214993,$,125000000
50,2010,Scontro tra titani,Clash of the Titans,2010-04-02,"Action, Adventure, Fantasy",106,"USA, UK, Australia",Warner Bros.,5.8,39.0,PG-13,,,,,$,493214993,$,125000000
51,2010,5 giorni fuori,It's Kind of a Funny Story,2010-10-08,"Comedy, Drama, Romance",101,USA,Focus Features,7.1,63.0,PG-13,,,,It's Kind of a Funny Story,$,6491240,$,8000000
52,2010,L'acchiappadenti,Tooth Fairy,2010-06-11,"Comedy, Family, Fantasy",101,"USA, Canada",Twentieth Century Fox,5.0,36.0,,,,,,$,112462508,$,48000000
53,2010,Plumíferos - Aventuras voladoras,Plumíferos - Aventuras voladoras,2010-02-18,"Animation, Adventure, Comedy",80,"Argentina, USA",Televisión Federal (Telefe),3.7,,,,,,,$,525312,$,750000
54,2010,Percy Jackson e gli dei dell'Olimpo - Il ladro di fulmini,Percy Jackson & the Olympians: The Lightning Thief,2010-03-12,"Adventure, Family, Fantasy",118,"UK, Canada, USA",Fox 2000 Pictures,5.9,47.0,PG,,,,,$,226497209,$,95000000
55,2010,Lei è troppo per me,She's Out of My League,2010-06-18,"Comedy, Romance",104,USA,DreamWorks,6.4,46.0,R,,,,,$,49779728,$,20000000
56,2010,Il primo amore non si scorda mai,Flipped,2010-09-10,"Comedy, Drama, Romance",90,USA,Castle Rock Entertainment,7.7,45.0,PG,,,,Flipped,$,4225921,$,14000000
57,2010,Appuntamento con l'amore,Valentine's Day,2010-03-12,"Comedy, Romance",125,USA,New Line Cinema,5.7,34.0,PG-13,,,,,$,216485654,$,52000000
58,2010,Dreamkiller,Dreamkiller,2010-02-19,Thriller,110,USA,Delaware Pictures,2.8,,,,,,,$,15514,$,2500000
60,2010,The Town,The Town,2010-10-08,"Crime, Drama, Thriller",125,USA,Warner Bros.,7.5,74.0,R,Jeremy Renner,ACTOR IN A SUPPORTING ROLE,False,,$,154026136,$,37000000
61,2010,I ragazzi stanno bene,The Kids Are All Right,2011-03-04,"Comedy, Drama, Romance",106,"USA, France",Focus Features,7.0,86.0,R,Mark Ruffalo,ACTOR IN A SUPPORTING ROLE,False,,$,34758951,$,4000000
62,2010,I ragazzi stanno bene,The Kids Are All Right,2011-03-04,"Comedy, Drama, Romance",106,"USA, France",Focus Features,7.0,86.0,R,Annette Bening,ACTRESS IN A LEADING ROLE,False,,$,34758951,$,4000000
63,2010,I ragazzi stanno bene,The Kids Are All Right,2011-03-04,"Comedy, Drama, Romance",106,"USA, France",Focus Features,7.0,86.0,R,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",BEST PICTURE,False,,$,34758951,$,4000000
64,2010,I ragazzi stanno bene,The Kids Are All Right,2011-03-04,"Comedy, Drama, Romance",106,"USA, France",Focus Features,7.0,86.0,R,Written by Lisa Cholodenko & Stuart Blumberg,WRITING (Original Screenplay),False,,$,34758951,$,4000000
72,2010,My Soul to Take - Il cacciatore di anime,My Soul to Take,2010-10-08,"Horror, Mystery, Thriller",107,USA,Rogue,4.8,25.0,R,,,,My Soul to Take,$,21500813,$,25000000
74,2010,Please Give,Please Give,2010-06-18,"Comedy, Drama",87,USA,Sony Pictures Classics,6.6,78.0,R,,,,,$,4313829,$,3000000
75,2010,Mangia prega ama,Eat Pray Love,2010-09-17,"Biography, Drama, Romance",133,USA,Columbia Pictures,5.8,50.0,PG-13,,,,,$,204594016,$,60000000
78,2010,Due cuori e una provetta,The Switch,2010-11-05,"Comedy, Drama, Romance",101,USA,Mandate Pictures,6.1,52.0,PG-13,,,,,$,49843011,$,19000000
79,2010,Letters to Juliet,Letters to Juliet,2010-08-25,"Adventure, Comedy, Drama",105,USA,Summit Entertainment,6.5,50.0,PG,,,,,$,79628830,$,30000000
80,2010,Dragon Trainer,How to Train Your Dragon,2010-03-26,"Animation, Action, Adventure",98,USA,DreamWorks Animation,8.1,75.0,PG,Chris Sanders and Dean DeBlois,ANIMATED FEATURE FILM,False,,$,494878759,$,165000000
81,2010,Dragon Trainer,How to Train Your Dragon,2010-03-26,"Animation, Action, Adventure",98,USA,DreamWorks Animation,8.1,75.0,PG,John Powell,MUSIC (Original Score),False,,$,494878759,$,165000000
82,2010,Shrek e vissero felici e contenti,Shrek Forever After,2010-08-25,"Animation, Adventure, Comedy",93,USA,DreamWorks Animation,6.3,58.0,PG,,,,,$,752600867,$,165000000
89,2010,Unthinkable,Unthinkable,2010-05-26,"Crime, Drama, Thriller",97,USA,Lleju Productions,7.1,,,,,,,$,1669947,$,15000000
90,2010,Jackboots on Whitehall,Jackboots on Whitehall,2010-10-08,"Animation, Comedy, Sci-Fi",91,"UK, Spain, Belgium",Entertainment Motion Pictures (E-MOTION),5.3,,NR,,,,,$,20776,$,6000000
93,2010,De gelukkige huisvrouw,De gelukkige huisvrouw,2010-04-15,"Comedy, Drama, Romance",100,Netherlands,Eyeworks Film & TV Drama,6.7,,,,,,,$,4800327,EUR,1800000
96,2010,Harry Potter e i Doni della Morte - Parte 1,Harry Potter and the Deathly Hallows: Part 1,2010-11-19,"Adventure, Family, Fantasy",146,"UK, USA",Warner Bros.,7.7,65.0,,,,,,$,976952911,GBP,150000000
100,2010,Rabbit Hole,Rabbit Hole,2011-02-10,Drama,91,USA,Olympus Pictures,7.0,76.0,PG-13,Nicole Kidman,ACTRESS IN A LEADING ROLE,False,,$,5144717,$,5000000
101,2010,Tsvetok dyavola,Tsvetok dyavola,2010-09-16,"Mystery, Romance",90,Russia,ZG Film,1.5,,,,,,,$,1865696,$,5000000
102,2010,L'ultimo dominatore dell'aria,The Last Airbender,2010-09-24,"Action, Adventure, Family",103,USA,Paramount Pictures,4.0,20.0,PG,,,,,$,319713881,$,150000000
103,2010,Arthur e la guerra dei due mondi,Arthur 3: la guerre des deux mondes,2011-12-23,"Animation, Adventure, Family",101,France,EuropaCorp,5.5,,,,,,,$,33885979,EUR,65000000
104,2010,Salt,Salt,2010-10-29,"Action, Mystery, Thriller",100,USA,Columbia Pictures,6.4,65.0,PG-13,"Jeffrey J. Haboush, Greg P. Russell, Scott Millan and William Sarokin",SOUND MIXING,False,,$,293503354,$,110000000
105,2010,Il cigno nero,Black Swan,2011-02-18,"Drama, Thriller",108,USA,Fox Searchlight Pictures,8.0,79.0,R,Natalie Portman,ACTRESS IN A LEADING ROLE,True,,$,329398046,$,13000000
106,2010,Il cigno nero,Black Swan,2011-02-18,"Drama, Thriller",108,USA,Fox Searchlight Pictures,8.0,79.0,R,Matthew Libatique,CINEMATOGRAPHY,False,,$,329398046,$,13000000
107,2010,Il cigno nero,Black Swan,2011-02-18,"Drama, Thriller",108,USA,Fox Searchlight Pictures,8.0,79.0,R,Darren Aronofsky,DIRECTING,False,,$,329398046,$,13000000
108,2010,Il cigno nero,Black Swan,2011-02-18,"Drama, Thriller",108,USA,Fox Searchlight Pictures,8.0,79.0,R,Andrew Weisblum,FILM EDITING,False,,$,329398046,$,13000000
109,2010,Il cigno nero,Black Swan,2011-02-18,"Drama, Thriller",108,USA,Fox Searchlight Pictures,8.0,79.0,R,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",BEST PICTURE,False,,$,329398046,$,13000000
110,2010,Green Zone,Green Zone,2010-04-23,"Action, Drama, Thriller",115,"UK, France, Spain, USA",Universal Pictures,6.8,63.0,R,,,,,$,154711438,$,100000000
111,2010,The Killer Inside Me,The Killer Inside Me,2010-11-26,"Crime, Drama, Thriller",109,"UK, Sweden, Canada, USA",Hero Entertainment,6.1,53.0,R,,,,The Killer Inside Me,$,4052191,$,13000000
112,2010,Robin Hood,Robin Hood,2010-05-12,"Action, Adventure, Drama",140,"USA, UK",Universal Pictures,6.6,53.0,G,,,,,$,321669741,$,200000000
113,2010,Robin Hood,Robin Hood,2010-05-12,"Action, Adventure, Drama",140,"USA, UK",Universal Pictures,6.6,53.0,NR,,,,,$,321669741,$,200000000
114,2010,Robin Hood,Robin Hood,2010-05-12,"Action, Adventure, Drama",140,"USA, UK",Universal Pictures,6.6,53.0,PG-13,,,,,$,321669741,$,200000000
115,2010,Robin Hood,Robin Hood,2010-05-12,"Action, Adventure, Drama",140,"USA, UK",Universal Pictures,6.6,53.0,PG-13,,,,,$,321669741,$,200000000
118,2010,L'apprendista stregone,The Sorcerer's Apprentice,2010-08-18,"Action, Adventure, Family",109,USA,Walt Disney Pictures,6.1,46.0,PG,,,,,$,215283742,$,150000000
119,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,Christian Bale,ACTOR IN A SUPPORTING ROLE,True,,$,129190869,$,25000000
120,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,Amy Adams,ACTRESS IN A SUPPORTING ROLE,False,,$,129190869,$,25000000
121,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,Melissa Leo,ACTRESS IN A SUPPORTING ROLE,True,,$,129190869,$,25000000
122,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,David O. Russell,DIRECTING,False,,$,129190869,$,25000000
123,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,Pamela Martin,FILM EDITING,False,,$,129190869,$,25000000
124,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",BEST PICTURE,False,,$,129190869,$,25000000
125,2010,The Fighter,The Fighter,2011-03-04,"Biography, Drama, Sport",116,USA,Closest to the Hole Productions,7.8,79.0,R,Screenplay by Scott Silver and Paul Tamasy & Eric Johnson; Story by Keith Dorrington & Paul Tamasy & Eric Johnson,WRITING (Original Screenplay),False,,$,129190869,$,25000000
126,2010,L'imbroglio nel lenzuolo,L'imbroglio nel lenzuolo,2010-06-18,"Comedy, Romance",105,"Italy, Spain",Seven Dreams Production,4.8,,,,,,,$,492068,EUR,8000000
127,2010,The Conspirator,The Conspirator,2011-06-22,"Crime, Drama, History",122,USA,The American Film Company,6.9,55.0,PG-13,,,,,$,15625544,$,25000000
129,2010,Vi presento i nostri,Little Fockers,2011-01-14,"Comedy, Romance",98,USA,Universal Pictures,5.5,27.0,PG-13,,,,,$,310650585,$,100000000
134,2010,Fair Game - Caccia alla spia,Fair Game,2010-10-22,"Biography, Drama, Thriller",108,"USA, United Arab Emirates",River Road Entertainment,6.8,69.0,R,,,,,$,25806953,$,22000000
135,2010,Fair Game - Caccia alla spia,Fair Game,2010-10-22,"Biography, Drama, Thriller",108,"USA, United Arab Emirates",River Road Entertainment,6.8,69.0,PG-13,,,,,$,25806953,$,22000000
136,2010,Lottery Ticket,Lottery Ticket,2010-08-20,Comedy,99,USA,Alcon Entertainment,5.0,50.0,PG-13,,,,,$,24719879,$,17000000
137,2010,Le cronache di Narnia - Il viaggio del veliero,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-10,"Adventure, Family, Fantasy",113,"USA, UK",Fox 2000 Pictures,6.3,53.0,PG,,,,,$,415686217,$,155000000
138,2010,Multiple Sarcasms,Multiple Sarcasms,2010-04-08,Drama,97,USA,Multiple Avenue Releasing,4.9,35.0,R,,,,,$,29731,$,2500000
139,2010,Machete,Machete,2011-05-06,"Action, Crime, Thriller",105,USA,Overnight Films,6.6,60.0,R,,,,,$,45491656,$,10500000
141,2010,Dear John,Dear John,2010-05-07,"Drama, Romance, War",108,USA,Screen Gems,6.3,43.0,PG-13,,,,Dear John,$,114984666,$,25000000
145,2010,The Experiment,The Experiment,2010-08-12,"Drama, Thriller",96,USA,Alliance Cinema,6.4,,,,,,,$,716580,$,21800000
146,2010,Megamind,Megamind,2010-12-17,"Animation, Action, Comedy",95,USA,DreamWorks Animation,7.2,63.0,PG,,,,,$,321885765,$,130000000
148,2010,Innocenti bugie,Knight and Day,2010-10-08,"Action, Adventure, Comedy",109,USA,Twentieth Century Fox,6.3,46.0,,,,,,$,261989769,$,117000000
149,2010,Dylan Dog - Il film,Dylan Dog: Dead of Night,2011-03-16,"Action, Comedy, Crime",108,USA,Hyde Park Films,5.1,31.0,PG-13,,,,,$,5782515,$,20000000
150,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
151,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
152,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
153,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
154,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
155,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
156,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
157,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
158,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
159,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
160,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
161,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,G,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
162,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,PG,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
163,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,PG,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
164,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,PG,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
165,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,NR,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,ART DIRECTION,True,,$,1025467110,$,200000000
166,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,NR,Colleen Atwood,COSTUME DESIGN,True,,$,1025467110,$,200000000
167,2010,Alice in Wonderland,Alice in Wonderland,2010-03-03,"Adventure, Family, Fantasy",108,"USA, UK",Walt Disney Pictures,6.4,53.0,NR,"Ken Ralston, David Schaub, Carey Villegas and Sean Phillips",VISUAL EFFECTS,False,,$,1025467110,$,200000000
169,2010,Pax,Pax,2010-02-01,Drama,75,Norway,Paradox Spillefilm,3.2,,,,,,,$,29240,NOK,100000000
171,2010,The Runaways,The Runaways,2010-04-08,"Biography, Drama, Music",106,USA,River Road Entertainment,6.5,65.0,R,,,,,$,4681651,$,10000000
172,2010,Centurion,Centurion,2010-04-23,"Action, Drama, History",97,"UK, France, USA",Pathé Pictures International,6.4,62.0,R,,,,,$,6890432,$,12000000
174,2010,Copia conforme,Copie conforme,2010-05-21,"Drama, Romance",106,"France, Italy, Belgium, Iran",MK2 Productions,7.3,82.0,,,,,,$,7736632,EUR,7000000
175,2010,The Way Back,The Way Back,2012-07-06,"Adventure, Drama, History",133,"USA, United Arab Emirates, Poland, India",Exclusive Films,7.3,66.0,PG-13,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng",MAKEUP,False,,$,24172201,$,30000000
176,2010,The Way Back,The Way Back,2012-07-06,"Adventure, Drama, History",133,"USA, United Arab Emirates, Poland, India",Exclusive Films,7.3,66.0,R,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng",MAKEUP,False,,$,24172201,$,30000000
178,2010,Wall Street - Il denaro non dorme mai,Wall Street: Money Never Sleeps,2010-10-22,Drama,133,USA,Twentieth Century Fox,6.2,59.0,PG-13,,,,,$,134748021,$,70000000
179,2010,Un anno da ricordare,Secretariat,2011-06-24,"Biography, Drama, Family",123,USA,Walt Disney Pictures,7.2,61.0,PG,,,,,$,60321861,$,35000000
180,2010,The Warrior's Way,The Warrior's Way,2010-12-02,"Action, Fantasy, Western",100,"New Zealand, South Korea",Rogue,6.3,45.0,R,,,,,$,11103434,$,42000000
181,2010,Codice Genesi,The Book of Eli,2010-02-26,"Action, Adventure, Drama",118,USA,Alcon Entertainment,6.9,53.0,R,,,,,$,157107755,$,80000000
183,2010,Legion,Legion,2010-03-12,"Action, Fantasy, Horror",100,USA,Screen Gems,5.2,32.0,R,,,,Legion,$,67918658,$,26000000
184,2010,Il cacciatore di ex,The Bounty Hunter,2010-04-09,"Action, Comedy, Romance",110,USA,Columbia Pictures,5.6,22.0,PG-13,,,,,$,136333522,$,40000000
186,2010,Lo Schiaccianoci 3D,The Nutcracker in 3D,2011-12-02,"Action, Family, Fantasy",110,"UK, Hungary",Vnesheconombank,4.2,18.0,,,,,,$,17177993,$,90000000
192,2010,Repo Men,Repo Men,2010-03-19,"Action, Sci-Fi, Thriller",111,"USA, Canada",Universal Pictures,6.3,32.0,R,,,,,$,18409891,$,32000000
195,2010,Tre all'improvviso,Life as We Know It,2010-12-03,"Comedy, Drama, Romance",114,USA,Josephson Entertainment,6.5,39.0,PG-13,,,,,$,105734416,$,38000000
197,2010,Spud,Spud,2010-12-03,"Comedy, Drama",103,South Africa,Rogue Star Films,6.7,,,,,,,$,2415999,$,4000000
201,2010,Habana Eva,Habana Eva,2010-05-28,"Comedy, Romance",106,"Venezuela, Cuba, France",Villa del Cine,6.1,,,,,,,$,707988,$,800000
207,2010,Jonah Hex,Jonah Hex,2010-06-18,"Action, Drama, Fantasy",81,USA,Warner Bros.,4.7,33.0,PG-13,,,,,$,10903312,$,47000000
210,2010,Happiness Runs,Happiness Runs,2010-05-01,Drama,88,USA,Happiness Runs,5.0,24.0,,,,,,$,7199,$,1200000
218,2010,Shanghai,Shanghai,2010-06-17,"Crime, Drama, Mystery",105,"China, USA",Living Films,6.4,36.0,R,,,,,$,15302850,$,50000000
223,2010,Bereavement,Bereavement,2011-11-29,"Crime, Horror, Thriller",109,USA,Aurilia Arts Productions,5.1,,R,,,,,$,43712,$,3600000
225,2010,Killers,Killers,2010-06-04,"Action, Comedy, Romance",100,USA,Lionsgate,5.5,21.0,PG-13,,,,,$,98159963,$,75000000
226,2010,Killers,Killers,2010-06-04,"Action, Comedy, Romance",100,USA,Lionsgate,5.5,21.0,NR,,,,,$,98159963,$,75000000
230,2010,Tron: Legacy,Tron,2010-12-29,"Action, Adventure, Sci-Fi",125,USA,Walt Disney Pictures,6.8,49.0,,,,,,$,400062763,$,170000000
231,2010,Eva,Eva,2010-10-08,Drama,111,Romania,Artis Film,5.1,,NR,,,,,$,34887,EUR,3000000
232,2010,Cash Game - Paga o muori,Ca$h,2010-03-01,"Crime, Thriller",108,USA,Immortal Thoughts,6.0,,,,,,,$,46488,$,7000000
233,2010,Dirty Girl,Dirty Girl,2011-07-07,"Comedy, Drama",90,USA,The Weinstein Company,6.4,37.0,R,,,,,$,143485,$,4000000
234,2010,Mars,Mars,2010-12-03,"Animation, Comedy, Sci-Fi",90,USA,Cinema Lapiniere,6.0,,NR,,,,,$,128114,$,200000
238,2010,Ma nije on takav,Ma nije on takav,2010-08-22,Thriller,110,Serbia,,6.1,,,,,,,$,62358,EUR,150000
239,2010,Seres: Genesis,Seres: Genesis,2010-09-24,"Action, Adventure, Sci-Fi",110,Mexico,Huma Films,3.8,,,,,,,$,259301,$,1600000
242,2010,Blue Valentine,Blue Valentine,2013-02-14,"Drama, Romance",112,USA,Incentive Filmed Entertainment,7.4,81.0,R,Michelle Williams,ACTRESS IN A LEADING ROLE,False,,$,15440333,$,1000000
243,2010,Detective Dee e il mistero della Fiamma Fantasma,Di renjie: Tong tian di guo,2011-08-26,"Action, Adventure, Drama",123,"China, Hong Kong",China Film Co-Production Corporation,6.6,75.0,,,,,,$,51899269,$,13000000
245,2010,Love Ranch,Love Ranch,2011-01-06,"Biography, Comedy, Drama",117,"USA, Germany",Aramid Entertainment Fund,5.6,37.0,R,,,,,$,146149,$,25000000
246,2010,Burlesque,Burlesque,2011-02-18,"Drama, Music, Musical",119,USA,Screen Gems,6.4,47.0,PG-13,,,,,$,89519773,$,55000000
