,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
8764,2016,17 anni (e come uscirne vivi),The Edge of Seventeen,2017-03-30,"Comedy, Drama",104,"USA, China",Gracie Films,7.3,77.0,R,,,,,$,19370020,$,9000000
8766,2016,Brimstone,Brimstone,2017-01-12,"Drama, Mystery, Thriller",148,"Netherlands, France, Germany, Belgium, Sweden, UK, USA",N279 Entertainment,7.1,45.0,R,,,,Brimstone,$,2140941,EUR,12000000
8767,2016,Dark crimes,True Crimes,2018-09-06,"Crime, Drama, Thriller",92,"USA, Poland, UK",Saban Films,4.8,24.0,,,,,,$,25396,EUR,3800000
8768,2016,Big Fish & Begonia,Da Yu Hai Tang,2018-06-21,"Animation, Adventure, Drama",100,China,B&T,7.1,72.0,,,,,,$,85557721,CNY,30000000
8770,2016,Miss Peregrine - La casa dei ragazzi speciali,Miss Peregrine's Home for Peculiar Children,2016-12-15,"Adventure, Drama, Family",127,"USA, UK, Belgium, Canada",Twentieth Century Fox,6.7,57.0,PG-13,,,,,$,296482446,$,110000000
8773,2016,City of Tiny Lights,City of Tiny Lights,2017-04-07,"Crime, Drama, Thriller",110,UK,BBC Films,5.5,55.0,,,,,,$,54903,GBP,3000000
8774,2016,The Comedian,The Comedian,2017-02-03,"Comedy, Drama, Romance",120,USA,Cinelou Films,5.7,40.0,R,,,,,$,1659002,$,15000000
8775,2016,The Neon Demon,The Neon Demon,2016-06-08,"Horror, Thriller",117,"USA, Belgium, Denmark, France",Space Rocket Nation,6.2,51.0,R,,,,,$,3377430,$,7000000
8776,2016,L'eccezione alla regola,Rules Don't Apply,2017-04-27,"Comedy, Drama, Romance",127,USA,New Regency Pictures,5.7,60.0,PG-13,,,,,$,3885342,$,25000000
8779,2016,Angry Birds - Il film,Angry Birds,2016-06-15,"Animation, Action, Adventure",97,"Finland, USA",Columbia Pictures,6.3,43.0,,,,,,$,352333929,$,73000000
8783,2016,Trafficanti,War Dogs,2016-09-15,"Biography, Comedy, Crime",114,"USA, Cambodia, Romania",BZ Entertainment,7.1,57.0,R,,,,,$,86234523,$,40000000
8786,2016,L'ultima tempesta,The Finest Hours,2016-03-31,"Action, Drama, History",117,USA,Walt Disney Pictures,6.8,58.0,PG-13,,,,,$,52099090,$,80000000
8788,2016,USS Indianapolis,USS Indianapolis: Men of Courage,2017-07-19,"Action, Drama, History",128,USA,Hannibal Media,5.2,30.0,R,,,,,$,2158568,$,40000000
8789,2016,The great wall,The Great Wall,2017-02-23,"Action, Adventure, Fantasy",103,"USA, China, Hong Kong, Australia, Canada",Legendary East,5.9,42.0,PG-13,,,,,$,334933831,$,150000000
