title,year,date_published,genre,duration,country,language,director,writer,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors,genre_first,genre2,month,season,director_power,book_label,production_power,actor1,actor2,actor3,actor4,actor5,writer1,writer2,director1,director2,title,genre,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
In My Sleep,2010,2010-04-23,"Drama, Mystery, Thriller",104,USA,English,Allen Wolf,Allen Wolf,5.5,1000000,30158,33,PG-13,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Phoebe Price, Kelly Overton, Amy Aquino, Tony Hale, Kevin Kilner, Aidan Mitchell, Michael Badalucco, Beth Grant, Alexandra Paul, Kirsten Vangsness, Patrick Labyorteaux, Allan Wasserman, Patrick Layorteaux, Bellamy Young, Shanna Collins, Marcelle Larice, Christopher Darga, Larry Clarke, Robert L. Joseph, Joseph A. Nuñez, Bunny Levine, Kathryn Fiore, Vanessa Lee Evigan, Natalie DuBose, Kevin Michael Curran, Sean Gabriel Moore, Joy Bisco, Nancy Sexton",Drama,"['Drama', 'Mystery', 'Thriller']",Apr,Spring,30158,0,30158,Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer, Phoebe Price,Allen Wolf,,Allen Wolf,,The Gallows - L'esecuzione,"Horror, Mystery, Sci-Fi",42964410,100000,42964.409999999996,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
On the Road,2012,2012-10-11,"Adventure, Drama, Romance",124,"France, USA, UK, Mexico, Canada, Brazil, Germany, Netherlands, Argentina","English, French",Walter Salles,"Jack Kerouac, Jose Rivera",6.1,25000000,9617377,56,R,"Garrett Hedlund, Sam Riley, Kristen Stewart, Kirsten Dunst, Viggo Mortensen, Amy Adams, Tom Sturridge, Alice Braga, Marie-Ginette Guay, Elisabeth Moss, Danny Morgan, Charlie Haden, Brian Blade",Adventure,"['Adventure', 'Drama', 'Romance']",Oct,Fall,9617377,1,9617377,Garrett Hedlund, Sam Riley, Kristen Stewart, Kirsten Dunst, Viggo Mortensen,Jack Kerouac, Jose Rivera,Walter Salles,,L'altra faccia del diavolo,Horror,101758490,1000000,10175.849,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
La preda perfetta,2014,2014-09-18,"Action, Crime, Drama",114,USA,"English, Spanish, Urdu, Russian",Scott Frank,"Lawrence Block, Scott Frank",6.5,28000000,58834384,57,R,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Patrick F. McDade, Laura Birn, Luciano Acuna Jr., Hans Marrero, Adam David Thompson, Adam Thompson, Kim Rosen, Eric Nelsen, Jon Goracy, Razane Jammal, Stephanie Andujar, Al Nazemian, Sophia Frank, Susham Bedi, Purva Bedi, Novella Nelson, Marielle Heller, Astro, Frank DeJulio, Olafur Darri Olafsson, Mark Consuelos, Natia Dune, Genevieve Adams, Liana DeLaurent, Sebastian Roche, Danielle Rose Russell, David Anzuelo, Samuel Mercedes, Mike Figueroa, Mike Carlsen, Leon Addison Brown, Damion Omar Lee, Jeremie Harris, Jolly Abraham, Nina Polan, Briana Marin, Arthur Gerunda, Fabrizio Brienza, Dennis Funny, Whitney Able, Chinasa Ogbuagu, Louise G. Colón",Action,"['Action', 'Crime', 'Drama']",Sep,Fall,58834384,0,58834384,Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Patrick F. McDade,Lawrence Block, Scott Frank,Scott Frank,,Le origini del male,"Horror, Mystery, Thriller",17835162,200000,8917.581,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jurassic World,2015,2015-06-11,"Action, Adventure, Sci-Fi",124,USA,English,Colin Trevorrow,"Rick Jaffa, Amanda Silver",7.0,150000000,1670401444,59,PG-13,"Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Nicholas John Robinson, Omar Sy, Jake Johnson (XVI), Nick Robinson, Lauren Lapkus, Katie McGrath, Ty Simpkins, B.D. Wong, Irrfan Khan, Brian Tee, Eddie J. Fernandez, Andy Buckley (II), Kelly Washington, Divine Prince Ty Emmecca, Jennifer Rikert Wolski, Matthew Cardarople, Gary Weeks, Fileena Bahris, Hélène Cardona, Eric Edelstein, Inder Kumar, Courtney J. Clark, Colby Boothman-Shepard, Colby Boothman, Jimmy Fallon, James DuMont, Matthew Burke, Michael Papajohn, Isaac Keys, Anna Talakkottur, Patrick Crowley, William Gary Smith, Chad Randall, Bill Ogilvie, Alan Tam, Chloe Perrin, Kevin Foster, Brad Bird, Yvonne Welch, Timothy Eulich, Bonnie Wild, Colin Trevorrow",Action,"['Action', 'Adventure', 'Sci-Fi']",Jun,Summer,1679422848,0,18598370331,Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Nicholas John Robinson,Rick Jaffa, Amanda Silver,Colin Trevorrow,,Searching,"Drama, Mystery, Thriller",75462037,880000,8575.231477272728,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Rum Diary - Cronache di una passione,2011,2012-04-24,"Comedy, Drama",119,"USA, UK","English, Spanish, German",Bruce Robinson,"Bruce Robinson, Hunter S. Thompson",6.2,45000000,30134958,56,R,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins, Giovanni Ribisi, Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway, Bruno Irizarry, Enzo Cilenti, Aaron Lustig, Tisuby González, Natalia Rivera, Karen Austin, Julio Ramos, Rafa Alvarez, Sasha Merced, Eduardo Cortés, Karimah Westbrook, Guillermo Valedón, William R. Charlton, Javier Grajeda, Miguel Angel Reyes, Terrance Harlness, Andy Umberger, Armando Perez Mantaras, Bill Chott, Gavin Houston, Lisa Robins, Noel Delgado, Alejandro Carpio, Jaime ""Jimmy"" Navarro, Jimmy Navarro, Carlos Alberto López, Jimmy Ortega, José Coriano, Angel Nolasco, Javier Ortiz-Cortés, Jorge Antares, Aurelio Lima, Luis Gonzaga, Randall Jacobs, Edgar Lebrón Landrau, Eric Colón, Daniel Kalal",Comedy,"['Comedy', 'Drama']",Apr,Spring,30134958,1,1225311015,Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins,Bruce Robinson, Hunter S. Thompson,Bruce Robinson,,Insidious,"Horror, Mystery, Thriller",99557032,1500000,6637.135466666667,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I tre marmittoni,2012,2012-06-27,"Comedy, Family",92,USA,English,"Bobby Farrelly, Peter Farrelly","Mike Cerrone, Bobby Farrelly",5.1,30000000,54819301,56,PG,"Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara, Jennifer Hudson, Craig Bierko, Stephen Collins, Larry David, Kirby Heyborne, Carly Craig, Kate Upton, Marianne Leone, Brian Doyle-Murray, Mike 'The Situation' Sorrentino, Nicole ""Snooki"" Polizzi, Jenni ""JWoww"" Farley, Ronnie Magro, Sammi ""Sweetheart"" Giancola, Avalon Robbins, Max Charles, Jake Peck, Patty Ross, Lee Armstrong, Emy Coligado, Ray Collins, Isaiah Mustafa, Mark J. Kogan, Michael D'Allessio, Donna D'Allessio, Bob Kocsis, Apple Kocsis, Jackie Flynn, Sandra Dorsey, Vince Canlas, Ric Reitz, Caryl West, Sayed Badreya, Johnny Seal, Deborah Walker, Michael L. Kuhn, Pamela Smith, Lucy Thomas, Charlie G. Thomas, Skyler Gisondo, Lance Chantiles-Wertz, Robert Capron, Danny Smith, Kyla Kenedy, Erin Allin O'Reilly, Caitlin Colford, Caroline Kimberly Scott, Mariann Neary, Jesse Farrelly, Jerod Mayo, Troy Brown, Patricia French, Roy Jenkins, Barry Guy, Matthew Collins, Matthew L. Collins, William F. Scannell, Jonathan Kennedy, Lin Shaye, Steve Tyler, Myron Parker Jr., J.R. Fondessy, Robert J. Benjamin, Reid Meadows, Dwight Howard, Dallas Hobbs, Carter Hayden, Cooper Callihan, Kieran Vine, Antonio Sabato Jr., Justin Lopez",Comedy,"['Comedy', 'Family']",Jun,Summer,310813548,0,14699910437,Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara,Mike Cerrone, Bobby Farrelly,Bobby Farrelly, Peter Farrelly,Unfriended,"Horror, Mystery, Thriller",62882090,1000000,6288.209,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rapunzel: L'intreccio della torre,2010,2010-11-26,"Animation, Adventure, Comedy",100,USA,English,"Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm",7.7,260000000,592461732,71,PG,"Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor, Brad Garrett, Paul F. Tompkins, Richard Kiel, Delaney Rose Stein, Nathan Greno, Byron Howard, Tim Mertens, Bob Bergen, Susanne Blakeslee, June Christopher, Roy Conli, Susan Blakeslee, David Cowgill, Terri Douglas, Chad Einbinder, Patrick Fraley, Eddie Frierson, Jackie Gonneau, Nicholas Guest, Bridget Hoffman, Anne Lockhart, Mona Marshall, Scott Menville, Daniel A. Kaz, Laraine Newman, Paul Pape, Lynwood Robinson, Fred Tatasciore, Hynden Walch, Kari Wahlgren",Animation,"['Animation', 'Adventure', 'Comedy']",Nov,Fall,592461732,1,25309406600,Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey, Jeffrey Tambor,Dan Fogelman, Jacob Grimm,Nathan Greno, Byron Howard,Scappa - Get Out,"Horror, Mystery, Thriller",272500313,4500000,6055.562511111111,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
John Carter,2012,2012-03-07,"Action, Adventure, Sci-Fi",132,USA,English,Andrew Stanton,"Andrew Stanton, Mark Andrews",6.6,250000000,284139100,51,PG-13,"Antonio Sabato Jr., Traci Lords, Phil Philmar, Si Evans",Action,"['Action', 'Adventure', 'Sci-Fi']",Mar,Spring,1312709989,0,25309406600,Antonio Sabato Jr., Traci Lords, Phil Philmar, Si Evans,,Andrew Stanton, Mark Andrews,Andrew Stanton,,Paranormal Activity 2,Horror,177512032,3000000,5917.067733333333,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cowboys & Aliens,2011,2011-10-14,"Action, Sci-Fi, Thriller",119,"USA, India","English, Apache languages",Jon Favreau,"Roberto Orci, Alex Kurtzman",6.0,163000000,174822325,50,PG-13,"Daniel Craig, Olivia Wilde, Harrison Ford, Paul Dano, Adam Beach, Noah Ringer, Abigail Spencer, Sam Rockwell, Brendan Wayne, Buck Taylor, Matt Taylor, Cooper Taylor, Clancy Brown, Chris Browning, Ana de la Reguera, Brian Duffy, Julio Cedillo, Keith Carradine, Gavin Grazer, Toby Huss, Wyatt Russell, Jimmy Jatho, Kenny Call, Walton Goggins, Julio Cesar Cedillo, Garret James Noel, David O'Hara, Troy M. Gilbert, Chad Randall, Scout Hendrickson, Raoul Trujillo, David Midthunder, Troy M. Gilbert, Mo Brings Plenty, Phillip Pike, Calum Blaylock, Paul Ortega, Nathaniel Chee, Robyn Simmons, Simon Choneska, David Chee, Vonda Tso, Freddie Apache, Lariat Geronimo, Oliver Enjady, Hoyle Osborne, Rex Rideout",Action,"['Action', 'Sci-Fi', 'Thriller']",Oct,Fall,3470699497,0,18598370331,Daniel Craig, Olivia Wilde, Harrison Ford, Paul Dano, Adam Beach,Roberto Orci, Alex Kurtzman,Jon Favreau,,Paranormal Activity 3,"Horror, Mystery, Thriller",207039844,5000000,4140.79688,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A cena con un cretino,2010,2010-11-05,Comedy,114,USA,English,Jay Roach,"David Guion, Michael Handelman",5.9,69000000,86855739,56,PG-13,"Paul Rudd, Steve Carell, Zach Galifianakis, Jemaine Clement, Stephanie Szostak, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Larry Wilmore, Kristen Schaal, P.J. Byrne, Andrea Savage, Nick Kroll, Randall Park, Lucy Davenport, Chris O'Dowd, Jeff Dunham, Octavia Spencer, Patrick Fischler, Rick Overton, Eric Winzenried, Nicole LaLiberte, Maria Zyrianova, Scott Weintraub",Comedy,['Comedy'],Nov,Fall,263057302,0,15651908509,Paul Rudd, Steve Carell, Zach Galifianakis, Jemaine Clement, Stephanie Szostak,David Guion, Michael Handelman,Jay Roach,,Annabelle,"Horror, Mystery, Thriller",257047661,6500000,3954.5794,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
